"landing_site","acuaculture_production","est_aquaculture_production","est_aquaculture_certainty","aquacultureFLAG_landing.site"
"BAHIA DE NAVACHISTE","yes","yes, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO NO.134","yes","yes, as reported","estimate is consistent with original report","NO"
"LA BRECHA","yes","yes, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO NO.63","yes","yes, as reported","estimate is consistent with original report","NO"
"CELESTINO GASCA","yes","yes, as reported","estimate is consistent with original report","NO"
"EL HUITUSSI","yes","yes, as reported","estimate is consistent with original report","NO"
"PAREDONES (CULT.)","yes","yes, as reported","estimate is consistent with original report","YES"
"DIQUE LOS BECOS","yes","yes, as reported","estimate is consistent with original report","NO"
"EL MAJAHUAL","yes","yes, as reported","estimate is consistent with original report","NO"
"BAHIA DE LOBOS","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA LA CAÑADA","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA SAN IGNACIO","yes","yes, as reported","estimate is consistent with original report","NO"
"LAS ESCOPAMAS","no","no, as reported","estimate is consistent with original report","NO"
"ALTATA","yes","yes, as reported","estimate is consistent with original report","NO"
"EL POZO DEL MARQUIZ","yes","yes, as reported","estimate is consistent with original report","NO"
"LA VENTANA","yes","yes, as reported","estimate is consistent with original report","NO"
"ESTERO JUAN PEREZ","no","no, as reported","estimate is consistent with original report","NO"
"LA CIRUELITA","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA ACHIMEC","no","no, as reported","estimate is consistent with original report","NO"
"EL HECHO","yes","yes, as reported","estimate is consistent with original report","NO"
"BUCERIAS","yes","yes, as reported","estimate is consistent with original report","NO"
"EL CONCHAL","yes","yes, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO COROBOCHA","yes","yes, as reported","estimate is consistent with original report","NO"
"EJIDO COFRADIA","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA NORTE","yes","yes, as reported","estimate is consistent with original report","NO"
"LAS BRISAS (CULT.)",NA,"yes, with high confidence","no official report but landing site name suggests aquaculture with high confidence","YES"
"LOS SABALOS","yes","yes, as reported","estimate is consistent with original report","NO"
"PUNTA DE GRANO","yes","yes, as reported","estimate is consistent with original report","NO"
"GUAYMAS","yes","yes, as reported","estimate is consistent with original report","NO"
"BAHIA DE SANTA MARIA","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA LOS PEREZ","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE AGIABAMPO","yes","yes, as reported","estimate is consistent with original report","NO"
"BATURY ANGOSTURA (CULT)",NA,"yes, with high confidence","no official report but landing site name suggests aquaculture with high confidence","YES"
"BAHIA KINO","yes","yes, as reported","estimate is consistent with original report","NO"
"PLAYA DE LA PEÑITA DE JALTEMBA","yes","yes, as reported","estimate is consistent with original report","NO"
"LOS VIVEROS","yes","yes, as reported","estimate is consistent with original report","YES"
"DRENES Y CANALES DIST. NO.74",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"PRESA DE VALERIO","yes","yes, as reported","estimate is consistent with original report","NO"
"CHINO, EL","no","no, as reported","estimate is consistent with original report","NO"
"JARRETADERAS","yes","yes, as reported","estimate is consistent with original report","NO"
"BAHIA AGIABAMPO","yes","yes, as reported","estimate is consistent with original report","NO"
"LA PUNTILLA","yes","yes, as reported","estimate is consistent with original report","NO"
"MARISMA EL HUIZACHE","yes","yes, as reported","estimate is consistent with original report","NO"
"LITORAL (ESCUINAPA)","yes","yes, as reported","estimate is consistent with original report","NO"
"EL JUNCALITO (B.C.S.)","yes","yes, as reported","estimate is consistent with original report","NO"
"PLATANO, EL","yes","yes, as reported","estimate is consistent with original report","NO"
"SAN SEBASTIAN DEL OESTE","no","no, as reported","estimate is consistent with original report","NO"
"PUERTA DE MEXICO","yes","yes, as reported","estimate is consistent with original report","NO"
"LAZARO CARDENAS","yes","yes, as reported","estimate is consistent with original report","NO"
"LAS BRISAS (CULT.)","yes","yes, as reported","estimate is consistent with original report","YES"
"EMBARCADERO ISLA DE LA PIEDRA","yes","yes, as reported","estimate is consistent with original report","NO"
"EL PARDITO","yes","yes, as reported","estimate is consistent with original report","NO"
"LOMAS DE GARSAS","yes","yes, as reported","estimate is consistent with original report","NO"
"P. SANTA ROSA CONSTITUCION","yes","yes, as reported","estimate is consistent with original report","NO"
"COSTA AZUL (CULT)","yes","yes, as reported","estimate is consistent with original report","YES"
"CAMPO PESQUERO PLAYA COLORADA","yes","yes, as reported","estimate is consistent with original report","NO"
"LOS MELAGOS","yes","yes, as reported","estimate is consistent with original report","NO"
"DRENES Y CANALES DE JUAN JOSE RIOS",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"BOCANITA","yes","yes, as reported","estimate is consistent with original report","NO"
"BALNEARIO VENECIA","yes","yes, as reported","estimate is consistent with original report","NO"
"PUNTA PALMILLA","yes","yes, as reported","estimate is consistent with original report","NO"
"ISLA ESPIRITU SANTO","yes","yes, as reported","estimate is consistent with original report","NO"
"CHAGUIN, EL","yes","yes, as reported","estimate is consistent with original report","NO"
"TEODORO BELTRAN","yes","yes, as reported","estimate is consistent with original report","NO"
"EL SAHUIMARO","yes","yes, as reported","estimate is consistent with original report","NO"
"LOS BAÑOS","yes","yes, as reported","estimate is consistent with original report","NO"
"BAHIA YAVAROS","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA EL NOVILLO","yes","yes, as reported","estimate is consistent with original report","NO"
"BAHIA SAN ESTEBAN","yes","yes, as reported","estimate is consistent with original report","NO"
"EL JAGUEY","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA LOBOS","yes","yes, as reported","estimate is consistent with original report","NO"
"SAN JAVIER","yes","yes, as reported","estimate is consistent with original report","NO"
"PUERTA DE SAN MARCOS","yes","yes, as reported","estimate is consistent with original report","NO"
"PLAYA MANZANILLO(PTO.ESC.)","yes","yes, as reported","estimate is consistent with original report","NO"
"ENSENADA DEL PABELLON","yes","yes, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO EL TETUAN","yes","yes, as reported","estimate is consistent with original report","NO"
"PUNTA DE SAN MIGUEL","yes","yes, as reported","estimate is consistent with original report","NO"
"EL TULE","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA EL LEON","yes","yes, as reported","estimate is consistent with original report","NO"
"LA BRECHA","no","no, as reported","estimate is consistent with original report","NO"
"LA VENA DE SOLIS","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA CUAUHTEMOC","yes","yes, as reported","estimate is consistent with original report","NO"
"SITIO LA DRAGA","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA GUSTAVO DIAZ ORDAZ (BACURATO)","yes","yes, as reported","estimate is consistent with original report","NO"
"RINCON DE GUAYABITOS","no","no, as reported","estimate is consistent with original report","NO"
"DIQUE LA ENSENADA","yes","yes, as reported","estimate is consistent with original report","NO"
"ESTERO LA SABANITA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA MIGUEL HIDALGO Y COSTILLA","yes","yes, as reported","estimate is consistent with original report","NO"
"VALLE TRANQUILO","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA LOS SAUCES","yes","yes, as reported","estimate is consistent with original report","NO"
"BAHIA LOS MUERTOS","yes","yes, as reported","estimate is consistent with original report","NO"
"ISLA LAS ANIMAS","yes","yes, as reported","estimate is consistent with original report","NO"
"LA ATANASIA","no","no, as reported","estimate is consistent with original report","NO"
"LA PITAYA","yes","yes, as reported","estimate is consistent with original report","NO"
"BAHIA DE BANDERA","yes","yes, as reported","estimate is consistent with original report","NO"
"LOS CERRITOS Y BORDO LAS TUZAS",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"EL PASITO","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA CORRINCHIS","yes","yes, as reported","estimate is consistent with original report","NO"
"ENSENADA DE LA PAZ","yes","yes, as reported","estimate is consistent with original report","NO"
"VENA DEL PUYEQUE","no","no, as reported","estimate is consistent with original report","NO"
"PRESA VISTA HERMOSA","yes","yes, as reported","estimate is consistent with original report","NO"
"EUSTAQUIO BUELNA (PRESA)","no","no, as reported","estimate is consistent with original report","NO"
"YAMETO","no","no, as reported","estimate is consistent with original report","NO"
"EL COLORADO","no","no, as reported","estimate is consistent with original report","NO"
"CONCHAL, EL","no","no, as reported","estimate is consistent with original report","NO"
"PRESA COYNAN","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE VILLACORONA","no","no, as reported","estimate is consistent with original report","NO"
"LA CORTINA","no","no, as reported","estimate is consistent with original report","NO"
"AGUA VERDE","no","no, as reported","estimate is consistent with original report","NO"
"MUELLE DE SAN FELIPE","no","no, as reported","estimate is consistent with original report","NO"
"PIEDRA DEL ASADERO","no","no, as reported","estimate is consistent with original report","NO"
"SAN FRANCISCO","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE LECHUGUILLA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO SAN JOSE B.C.N.","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA TRINIDAD","no","no, as reported","estimate is consistent with original report","NO"
"LAS GRULLAS","no","no, as reported","estimate is consistent with original report","NO"
"EL POZO DEL MARQUIZ","no","no, as reported","estimate is consistent with original report","NO"
"LA NUEVA U","no","no, as reported","estimate is consistent with original report","NO"
"EL BARRIL","no","no, as reported","estimate is consistent with original report","NO"
"RUSIAS NEGRAS","no","no, as reported","estimate is consistent with original report","NO"
"CORTINA","no","no, as reported","estimate is consistent with original report","NO"
"LAZARO CARDENAS","no","no, as reported","estimate is consistent with original report","NO"
"PUENTE JUAREZ","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA SAN SEBASTIAN","no","no, as reported","estimate is consistent with original report","NO"
"PUERTO VIEJO (EN B.C.N.)","no","no, as reported","estimate is consistent with original report","NO"
"CHICURAS","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO COROBOCHA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA JINCORIS","no","no, as reported","estimate is consistent with original report","NO"
"EL PASO, IXTAPA","no","no, as reported","estimate is consistent with original report","NO"
"LAS COLORADAS","no","no, as reported","estimate is consistent with original report","NO"
"EL CHARCO","no","no, as reported","estimate is consistent with original report","NO"
"DIQUE MARIQUITAS","no","no, as reported","estimate is consistent with original report","NO"
"SITIO LAS COYOTAS","no","no, as reported","estimate is consistent with original report","NO"
"LAS GARZAS","no","no, as reported","estimate is consistent with original report","NO"
"EL EBANITO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO EL SACRIFICIO","no","no, as reported","estimate is consistent with original report","NO"
"AGUA GRANDE","no","no, as reported","estimate is consistent with original report","NO"
"LOS CERRITOS","no","no, as reported","estimate is consistent with original report","NO"
"LOS PUENTES","no","no, as reported","estimate is consistent with original report","NO"
"ACUACULTURA EN AVANCE (CULT.)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"BAHIA DE LAS ANIMAS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA AGUAMILPA","no","no, as reported","estimate is consistent with original report","NO"
"BOCA DE AZADERO","no","no, as reported","estimate is consistent with original report","NO"
"BARBARAZA","no","no, as reported","estimate is consistent with original report","NO"
"AGUACALIENTE","no","no, as reported","estimate is consistent with original report","NO"
"BLANCAS, LAS","no","no, as reported","estimate is consistent with original report","NO"
"EL PITAYAL","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA DE NOVILLERO","no","no, as reported","estimate is consistent with original report","NO"
"SAN BUENAVENTURA","no","no, as reported","estimate is consistent with original report","NO"
"LAS LAJITAS","no","no, as reported","estimate is consistent with original report","NO"
"SITIO LA DRAGA","no","no, as reported","estimate is consistent with original report","NO"
"DIQUE POROHUI","no","no, as reported","estimate is consistent with original report","NO"
"ROCA LOBOS","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO PESQUERO PLAYA COLORADA","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO EL LIMON","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA EL LIMON (EN ISLA CERRALVO)","no","no, as reported","estimate is consistent with original report","NO"
"LA BALLENA","no","no, as reported","estimate is consistent with original report","NO"
"LA PUNTILLA","no","no, as reported","estimate is consistent with original report","NO"
"EL PERDON","no","no, as reported","estimate is consistent with original report","NO"
"SITIO LA GUANERA","no","no, as reported","estimate is consistent with original report","NO"
"LOS POZOS","no","no, as reported","estimate is consistent with original report","NO"
"EL SABINAL (PRESA GUILLERMO BLAKE)","no","no, as reported","estimate is consistent with original report","NO"
"ARROYO LOS CAUGUES","no","no, as reported","estimate is consistent with original report","NO"
"BATURY ANGOSTURA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LOS MALINES","no","no, as reported","estimate is consistent with original report","NO"
"EL PERIHUETE","no","no, as reported","estimate is consistent with original report","NO"
"ZAPOTE DE PICACHOS","no","no, as reported","estimate is consistent with original report","NO"
"EL PASITO","no","no, as reported","estimate is consistent with original report","NO"
"LAS SALINITAS","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA GUAYMAS","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA LA VENTANA","no","no, as reported","estimate is consistent with original report","NO"
"ARROYO LOS CAUQUES","no","no, as reported","estimate is consistent with original report","NO"
"LA CIRUELITA","no","no, as reported","estimate is consistent with original report","NO"
"LAS CONCHITAS","no","no, as reported","estimate is consistent with original report","NO"
"AGUACALIENTITA","no","no, as reported","estimate is consistent with original report","NO"
"ADOLFO LOPEZ MATEOS (PRESA)","no","no, as reported","estimate is consistent with original report","NO"
"NO TIENE","no","no, as reported","estimate is consistent with original report","NO"
"PRESA ALVARO OBREGON","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA CONCEPCION","no","no, as reported","estimate is consistent with original report","NO"
"EL FISGADERO","no","no, as reported","estimate is consistent with original report","NO"
"LA MATITA","no","no, as reported","estimate is consistent with original report","NO"
"PUERTA DE SAN MARCOS","no","no, as reported","estimate is consistent with original report","NO"
"IGUANITO","no","no, as reported","estimate is consistent with original report","NO"
"TEODORO BELTRAN","no","no, as reported","estimate is consistent with original report","NO"
"EL ROBLITO","no","no, as reported","estimate is consistent with original report","NO"
"LAS PALOMAS","no","no, as reported","estimate is consistent with original report","NO"
"LOS CANDELONES","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA AMARILLA (O SANTA ROSA)","no","no, as reported","estimate is consistent with original report","NO"
"COSTAS DE SUR DE SINALOA","no","no, as reported","estimate is consistent with original report","NO"
"AVIACION","no","no, as reported","estimate is consistent with original report","NO"
"EL TABACHIN","no","no, as reported","estimate is consistent with original report","NO"
"MAICULIS","no","no, as reported","estimate is consistent with original report","NO"
"DALITAR","no","no, as reported","estimate is consistent with original report","NO"
"BOCA DEL ASADERO","no","no, as reported","estimate is consistent with original report","NO"
"RIO FUERTE","no","no, as reported","estimate is consistent with original report","NO"
"EL TETUAN","no","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO NUMERO 10","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL MOLINITO","no","no, as reported","estimate is consistent with original report","NO"
"LA PALMA","no","no, as reported","estimate is consistent with original report","NO"
"DONDE CANTO LA PALOMA","no","no, as reported","estimate is consistent with original report","NO"
"RANCHO VIEJO (POTREROS)","no","no, as reported","estimate is consistent with original report","NO"
"SAN LUIS","no","no, as reported","estimate is consistent with original report","NO"
"LAS TAUNITAS","no","no, as reported","estimate is consistent with original report","NO"
"ZOQUIPAN","no","no, as reported","estimate is consistent with original report","NO"
"LOS ALGODONES","no","no, as reported","estimate is consistent with original report","NO"
"GUSTAVO DIAZ ORDAZ (PRESA BACURA)","no","no, as reported","estimate is consistent with original report","NO"
"TECHOBAMPO","no","no, as reported","estimate is consistent with original report","NO"
"BOCA DEL RIO","no","no, as reported","estimate is consistent with original report","NO"
"BOQUILLA DE ZARAGOZA","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO EL CASTILLO","no","no, as reported","estimate is consistent with original report","NO"
"CAñADA EL PALILLO","no","no, as reported","estimate is consistent with original report","NO"
"EL DESORDEN","no","no, as reported","estimate is consistent with original report","NO"
"LA CAIMANERA","no","no, as reported","estimate is consistent with original report","NO"
"MANO PANTERA","no","no, as reported","estimate is consistent with original report","NO"
"MARISMA LAS CABRAS","no","no, as reported","estimate is consistent with original report","NO"
"LA BINORAMA","no","no, as reported","estimate is consistent with original report","NO"
"EL CHILOCOTE","no","no, as reported","estimate is consistent with original report","NO"
"TASTIOTA","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO DE COMIDA","no","no, as reported","estimate is consistent with original report","NO"
"FTE. AL CALLEJON PLAYA DE SAN CAYETANO","no","no, as reported","estimate is consistent with original report","NO"
"ENSENADA DE LA PAZ","no","no, as reported","estimate is consistent with original report","NO"
"OTATITO, EL","no","no, as reported","estimate is consistent with original report","NO"
"EL SALTO (PRESA)","no","no, as reported","estimate is consistent with original report","NO"
"GUAMUCHIL","no","no, as reported","estimate is consistent with original report","NO"
"CAMP. ADAN CECE?A","no","no, as reported","estimate is consistent with original report","NO"
"AQUIROPO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO SIRENA","no","no, as reported","estimate is consistent with original report","NO"
"MALINES","no","no, as reported","estimate is consistent with original report","NO"
"TAPO EL PUENTE","no","no, as reported","estimate is consistent with original report","NO"
"MUELLE DE SANIMAR (LA PAZ)","no","no, as reported","estimate is consistent with original report","NO"
"LA VINATA","no","no, as reported","estimate is consistent with original report","NO"
"LA BAYONA","no","no, as reported","estimate is consistent with original report","NO"
"EL TENPLETE","no","no, as reported","estimate is consistent with original report","NO"
"EMBALSE DE AGUAMILPA","no","no, as reported","estimate is consistent with original report","NO"
"MUELLE FISCAL DE LA PAZ","no","no, as reported","estimate is consistent with original report","NO"
"TRES ISLAS","no","no, as reported","estimate is consistent with original report","NO"
"PREDIO MAPAHUI (CULT.)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LOS TECOLOTES","no","no, as reported","estimate is consistent with original report","NO"
"SANTA ROSALIA","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA PALMILLA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA CAJON DE ONAPA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO DE LOS GIOTES","no","no, as reported","estimate is consistent with original report","NO"
"EL AGUAJITO","no","no, as reported","estimate is consistent with original report","NO"
"BACHOMOBAMPO","no","no, as reported","estimate is consistent with original report","NO"
"MULAS, LAS","no","no, as reported","estimate is consistent with original report","NO"
"BAJO EL TIBURON","no","no, as reported","estimate is consistent with original report","NO"
"SALTO CHICO","no","no, as reported","estimate is consistent with original report","NO"
"CABO TEPOPA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LA ROSITA","no","no, as reported","estimate is consistent with original report","NO"
"SANTA ROSALIITA","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA VERDE","no","no, as reported","estimate is consistent with original report","NO"
"EJIDOS DE BARRON","no","no, as reported","estimate is consistent with original report","NO"
"EL HOBO","no","no, as reported","estimate is consistent with original report","NO"
"ISLA LAS ANIMAS","no","no, as reported","estimate is consistent with original report","NO"
"PUERTO ESCONDIDO (EN LORETO)","no","no, as reported","estimate is consistent with original report","NO"
"ENSENADA EL MUERTO","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA PALA","no","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA","no","no, as reported","estimate is consistent with original report","NO"
"EL HUIZACHE","no","no, as reported","estimate is consistent with original report","NO"
"EL CARDONAL","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO EL CHORRO","no","no, as reported","estimate is consistent with original report","NO"
"EL POZO DEL PADRE","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE AGIABAMPO","no","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO NO. 74","no","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO EL RASTRO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA ADOLFO RUIZ CORTINEZ","no","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN IGNACIO","no","no, as reported","estimate is consistent with original report","NO"
"CAMPAMENTO DE BENITO","no","no, as reported","estimate is consistent with original report","NO"
"SAN LUIS GONZAGA B.C.N.","no","no, as reported","estimate is consistent with original report","NO"
"PRESA DE VALERIO","no","no, as reported","estimate is consistent with original report","NO"
"SAN MARCOS (EN ISLA SAN MARCOS)","no","no, as reported","estimate is consistent with original report","NO"
"ISLA SAN JOSE","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DEL CHONTE (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"EL OSTIONAL (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PRESA VISTA HERMOSA","no","no, as reported","estimate is consistent with original report","NO"
"EL QUEEN","no","no, as reported","estimate is consistent with original report","NO"
"EL ESPINAZO DEL DIABLO","no","no, as reported","estimate is consistent with original report","NO"
"DIQUE LA ENSENADA","no","no, as reported","estimate is consistent with original report","NO"
"PUERTO ALMEJA","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE ABOCHO","no","no, as reported","estimate is consistent with original report","NO"
"EL ROBLE SAN RAFAEL","no","no, as reported","estimate is consistent with original report","NO"
"GRULLA MARGEN DERECHA","no","no, as reported","estimate is consistent with original report","NO"
"ISLA SAN DIEGO","no","no, as reported","estimate is consistent with original report","NO"
"POBLADO 7","no","no, as reported","estimate is consistent with original report","NO"
"SAN MIGUEL","no","no, as reported","estimate is consistent with original report","NO"
"6 DE AGOSTO DE 1987 (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PRESA ALCAPARROSA","no","no, as reported","estimate is consistent with original report","NO"
"EL VERDE ZAVALA","no","no, as reported","estimate is consistent with original report","NO"
"SAN MIGUEL (B. DE LOS ANGELES)","no","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO #108","no","no, as reported","estimate is consistent with original report","NO"
"EL SANJON","no","no, as reported","estimate is consistent with original report","NO"
"AGIABAMPO","no","no, as reported","estimate is consistent with original report","NO"
"LA GUASIMA","no","no, as reported","estimate is consistent with original report","NO"
"VALLE DEL YAQUI","no","no, as reported","estimate is consistent with original report","NO"
"EL CHAMBRE","no","no, as reported","estimate is consistent with original report","NO"
"ENSENADA DE CORTEZ","no","no, as reported","estimate is consistent with original report","NO"
"CACHAN DE ECHEVERRIA","no","no, as reported","estimate is consistent with original report","NO"
"COSPITA","no","no, as reported","estimate is consistent with original report","NO"
"AURELIO VENANCINES VIZCAINA (PRESA)","no","no, as reported","estimate is consistent with original report","NO"
"PAREDON AMARILLO","no","no, as reported","estimate is consistent with original report","NO"
"MUELLE PLANTA PESQUERA TABASQUENA O COMPLEJO","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO """"EL POZO""""","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA LOS MUERTOS","no","no, as reported","estimate is consistent with original report","NO"
"LAS PUENTES","no","no, as reported","estimate is consistent with original report","NO"
"ISLA SANTA INES","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA LOS TULES","no","no, as reported","estimate is consistent with original report","NO"
"LA TUNA","no","no, as reported","estimate is consistent with original report","NO"
"ARROYO AGUA BLANCA","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE ZOQUIPA","no","no, as reported","estimate is consistent with original report","NO"
"SANALONA (PRESA)","no","no, as reported","estimate is consistent with original report","NO"
"EL COMEDERO","no","no, as reported","estimate is consistent with original report","NO"
"CRUZ BLANCA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"ESTERO EL ZAPOTAL","no","no, as reported","estimate is consistent with original report","NO"
"PRESA """"EL TRIGO""""","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL CARRIZO","no","no, as reported","estimate is consistent with original report","NO"
"LAS CASITAS","no","no, as reported","estimate is consistent with original report","NO"
"LUIS CORTINEZ","no","no, as reported","estimate is consistent with original report","NO"
"EL MALECON","no","no, as reported","estimate is consistent with original report","NO"
"VERTIDOR","no","no, as reported","estimate is consistent with original report","NO"
"BACOREHUIS","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO SAHUARO","no","no, as reported","estimate is consistent with original report","NO"
"EL VALLE","no","no, as reported","estimate is consistent with original report","NO"
"ATRACADERO HOTEL ROSITA","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA VENECIA","no","no, as reported","estimate is consistent with original report","NO"
"CENTENARIO","no","no, as reported","estimate is consistent with original report","NO"
"ISLA LA GALLINA","no","no, as reported","estimate is consistent with original report","NO"
"LA ENSENADA","no","no, as reported","estimate is consistent with original report","NO"
"EL LIMON","no","no, as reported","estimate is consistent with original report","NO"
"EL PULPITO","no","no, as reported","estimate is consistent with original report","NO"
"FRENTE MESA DE FLORES","no","no, as reported","estimate is consistent with original report","NO"
"EL CUACOYOLT","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE LOS COYOTES","no","no, as reported","estimate is consistent with original report","NO"
"EL PUYEQUE","no","no, as reported","estimate is consistent with original report","NO"
"MUELLE PESQUERO NO. 1 (NORTE)","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA DE GRANO","no","no, as reported","estimate is consistent with original report","NO"
"LOS JIOTES","no","no, as reported","estimate is consistent with original report","NO"
"BARRANQUILLA","no","no, as reported","estimate is consistent with original report","NO"
"EL HECHO","no","no, as reported","estimate is consistent with original report","NO"
"MESA DE LAS YEGUAS","no","no, as reported","estimate is consistent with original report","NO"
"AGUAPAN","no","no, as reported","estimate is consistent with original report","NO"
"LA SIERRA MOJADA","no","no, as reported","estimate is consistent with original report","NO"
"EL POZO DE LA HACIENDA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA PLUTARCO ELIAS CALLES","no","no, as reported","estimate is consistent with original report","NO"
"SAN JUAN","no","no, as reported","estimate is consistent with original report","NO"
"SAN BUENA VENTURA","no","no, as reported","estimate is consistent with original report","NO"
"EL TEPETATE","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE ZOQUIPA, LA","no","no, as reported","estimate is consistent with original report","NO"
"LA ALAMEDA","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO CUCAPA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LUIS DONALDO COLOSIO","no","no, as reported","estimate is consistent with original report","NO"
"EL BRAZIL","no","no, as reported","estimate is consistent with original report","NO"
"LAS TAUNAS","no","no, as reported","estimate is consistent with original report","NO"
"EL CIRUELITO","no","no, as reported","estimate is consistent with original report","NO"
"CAPOMO","no","no, as reported","estimate is consistent with original report","NO"
"CORBETENA, LA","no","no, as reported","estimate is consistent with original report","NO"
"BARRAS DE PIAXTLA","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE ALTATA","no","no, as reported","estimate is consistent with original report","NO"
"LA TINAJA","no","no, as reported","estimate is consistent with original report","NO"
"CANAL CERRALVO","no","no, as reported","estimate is consistent with original report","NO"
"CELESTUN","no","no, as reported","estimate is consistent with original report","NO"
"ASTILLERO NAVARRO","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA LA PESCA","no","no, as reported","estimate is consistent with original report","NO"
"ESCOLLERA","no","no, as reported","estimate is consistent with original report","NO"
"LO DE MARCOS","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA DE GOLONDRINAS","no","no, as reported","estimate is consistent with original report","NO"
