area,description,event_name,region,location_text,additional_location_info,initial_date,final_date,event_year,event_biblio
20,Minimum: ~2–5 km² (single cove/lee side); Likely: ~10–30 km² (belt 1–2 km offshore along adjacent coast + channel); Upper bound: ~60–120 km² (longer belt along Espíritu Santo/Partida + short spread toward Pichilingue/Tecolote),MX-10-014,Baja California Sur,RincÛn de las Ballenas,NA,12/21/10,12/31/10,2010,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2010
575,"Minimum (patchy belts 0.5–1 km wide over limited reaches): ~100–200 km²; Likely (recurrent belts 2–4 km wide along large portions of the 100–130 km coast over a month): ~350–800 km²; Upper plausible bound (episodes with wider belts 6–10 km for stretches, plus shoal patches): ~1,000–1,600 km²",MX-10-008,Baja California,San Felipe,"San Felipe-Puertecitos, Municipio de Mexicali",4/16/10,5/17/10,2010,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2010
24,Minimum (localized slick near one cove/segment): ~3–8 km²; Likely (narrow belt 0.5–1.5 km wide along ~5–15 km of channel shoreline including Pichilingue/Coromuel): ~12–35 km²; Upper plausible bound (brief widening to 2–3 km and involvement along most of the channel + small pocket coves): ~50–100 km²,MX-09-010,Baja California Sur,Canal San Lorenzo,NA,2/27/09,2/28/09,2009,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
150,Minimum extent: ≈ 100 km² (bay interior); Likely extent: 100 – 200 km² (bay + adjacent shelf); Upper plausible bound (bay + coastal plume extending both alongshore and several km offshore): up to ~400 km²,MX-09-009,Sinaloa,BahÌa de Mazatl·n,NA,1/14/09,1/16/09,2009,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-09-004,NA,Bahia de La Paz,NA,3/12/09,4/8/09,2009,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2009
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-09-002,Baja California Sur,BahÌa de la Paz,NA,NA,NA,2009,"LÛpez-CortÈs, D. J., Band-Schmidth, C. J., G·rate-Liz·rraga, I., Bustillos-Guzm·n, J. J., Hern·ndez-Sandoval, F. E., N˙Òez-V·zquez, E. J. 2011. Co-ocurrence of Chattonella marina and Gymnodinium catenatum in BahÌa de la Paz, Gulf of California (spring 2009). HidrobiolÛgica. 21(2): 185-196."
70,Minimum (localized inner-bay patch or near the Altata mouth): ~10–20 km²; Likely (belts/patches occupying a substantial sector of the bay during the short episode): ~40–100 km²; Upper plausible bound (most of Bahía de Altata involved briefly): ~150–230 km²,MX-08-006,Sinaloa,BahÌa de Altata,NA,4/4/08,4/7/08,2008,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
25,"Minimum (cysts confined to a few coves or only inside La Amortajada): ~8–12 km²; Likely seeding habitat (lagoon + leeward fringe segments): ~15–35 km²; If a surface bloom develops from this seed bed (localized, retained near island/canal): ~30–90 km²; Upper plausible bound (strong episode filling La Amortajada + an extended belt along Canal de San José): ~120–220 km²",MX-08-001,Baja California Sur,San Jose Island,NA,NA,NA,2008,"Morquecho, L., Alonso-RodrÌguez, R., MartÌnez-Tecuapacho, G.. A. 2014. Cyst morphology, germination characteristics, and potential toxicity of Pyrodinium bahamense in the Gulf of California. Bot·nica Marina. 57(4):303-314"
100,"Minimum (confined to a few coves; short, narrow belts): ~8–20 km²; Likely (1–3 km belt along most of the Tecolote → El Burro coast; episodic widening): ~60–140 km²; Upper plausible bound (wider 4–6 km swaths for stretches + partial intrusion into the Ensenada de La Paz): ~180–300 km²",MX-07-005,Baja California Sur,Bahia de La Paz,De El Tecolote a El Burro,3/6/07,4/13/07,2007,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2007. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2007
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-07-004,Baja California Sur,BahÌa de la Paz,NA,NA,NA,2007,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-07-003,Baja California Sur,BahÌa de la Paz,NA,NA,NA,2007,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-07-002,Baja California Sur,Bahia de la Paz,NA,NA,NA,2007,"MuciÒo-Marquez, R. E., G·rate-Liz·rraga, I., LÛpez-CortÈs, D. J. 2015. Seasonal Variation of the Genus Prorocentrum (DINOPHYCEAE) in Two Tuna Farms in BahÌa de la Paz, MÈxico. Acta BiolÛgica Colombiana. 20(1): 195-206."
225,"Minimum (several discrete patches at the listed sites, not fully connected): ~30–60 km²; Likely (connected belts filling much of the channel + large portions of the inner bay, with activity at island coves): ~150–300 km²; Upper plausible bound (near bay-wide occupation of the Ensenada + long 2–4 km belts along the channel and island coasts): ~300–450 km²",MX-06-005,Baja California Sur,Bahia de La Paz,"El Cayo, Punta Estero, Interior del Estero, Boca del Estero, El Pardito Isla Sur, Francisquito y PortuguÈs en Baja California Sur",7/28/06,8/10/06,2006,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2006. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2006
20,Estimated surface area impacted: ~20–60 km²; Upper range if the bloom extended beyond immediate shoreline belts and filled more of the inner basin: ~60–120 km²,MX-06-004,Baja California Sur,Bahia de La Paz,"Barco Hundido, El Mogote, Punta Mogote (PM). Marina Palmira, El Caimancito, Punta Prieta",6/9/06,7/7/06,2006,"ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2006. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2006. LÛpez-CortÈs D. J., E. J. N˙Òez-V·zquez, C. J. Band-Schmidt, I. G·rate-Liz·rraga, F. E. Hern·ndez-Sandoval, J. J. Bustillos-Guzm·n. 2015. Mass fish die-off during a diatom bloom in the BahÌa de La Paz, Gulf of California. HidrobiolÛgica 25 (1): 39-48. 22. N˙Òez-V·zquez, E., G·rate-Liz·rraga, I., Band-Schmidt, C.J., Cordero-Tapia, A., LÛpez-CortÈz, D.J., Hern·ndez-Sandoval, F.H., Heredia-Tapia, A., Bustillos-Guzm·n, J.J. 2011. Impact of harmful algal blooms on wild and cultured animals in the Gulf of California. J. Environm Biol. 32(1/2): 413-423"
100,Minimum (signals at a subset of stations; one or two sectors active): ~15–30 km²; Likely (1–3 km nearshore belt spanning much of the inner bay and parts of the channel covered by the six stations): ~60–140 km²; Upper plausible bound (most of the inner bay plus extended belts along the channel to Tecolote): ~180–280 km²,MX-06-001,Baja California Sur,BahÌa de la Paz,six sampling stations,NA,NA,2007,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
60,"Minimum (localized patches in inner channels/coves): ~10–25 km²; Likely (sub-basin/embayment scale, e.g., parts of Ohuira or inner Santa María; belts 0.5–2 km wide along 10–30 km of shoreline): ~30–90 km²; Upper plausible bound (system-wide favorable conditions with broad surface discoloration across one major bay and connecting channels): ~120–250 km²",MX-05-001,"Los Mochis, Sinaloa",Topolobampo lagoon system,NA,NA,NA,2005,"MartÌnez-LÛpez, A., Ulloa-PÈrez, A. E., Escobedo-UrÌas, D. C. 2007. First Record of Vegetative Cells of Pyrodinium bahamense (Gonyaulacales: Goniodomataceae) in the Gulf of California. Pacific Science. 61 (2): 289-293"
20,Minimum: ~2–5 km² (single cove/lee side); Likely: ~10–30 km² (belt 1–2 km offshore along adjacent coast + channel); Upper bound: ~60–120 km² (longer belt along Espíritu Santo/Partida + short spread toward Pichilingue/Tecolote),MX-04-003,Bja California Sur,RincÛn de las Ballenas,NA,7/8/04,7/19/04,2004,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2004
40,"Minimum (one or two coves / short belt): ~5–10 km²; Likely (1–2 km belt along much of the west coast, with pockets in coves): ~20–60 km²; Upper plausible bound (broadening to 3–4 km + wrapping into Ensenada Grande/Partida and parts of the San Lorenzo channel): ~80–150 km²",MX-04-002,"La Paz, B. C. S.",Isla EspÌritu Santo,NA,NA,NA,2004,"G·rate-liz·rraga, I., MuÒetÛn-GÛmez, M. S., Maldonado-Lopez, V. 2006. Florecimiento del dinoflagelado Gonyaulax polygramma frente a la Isla Espiritu Santo, Golfo de California, Mexico. Rev. Invest. Mar. 27(1): 31-39."
50,"Minimum (confined to inner bay/lee of Alcatraz, narrow belts): ~10–20 km²; Likely (inner bay + 1–2 km nearshore belt along most of the Kino shoreline): ~30–70 km²; Upper plausible bound (if discoloration extended alongshore toward Punta Chueca and briefly into the Canal del Infiernillo): ~100–160 km²",MX-03-003,Sonora,Bahia Kino,NA,6/5/03,6/12/03,2003,ComisiÛn Federal para la ProtecciÛn contra Riesgos Sanitarios. 2016. https://www.gob.mx/cofepris/documentos/presencia-de-marea-roja-en-costas-nacionales-durante-2003
48,Minimum (localized fish-kill belts in leeward coves or marina/channel edges): ~5–15 km²; Likely (1–2 km wide nearshore band spanning much of the Kino shoreline and/or part of Canal del Infiernillo): ~25–70 km²; Upper plausible bound (broad band wrapping from Kino shoreline into the canal toward Punta Chueca / Isla Alcatraz lee): ~100–180 km²,MX-03-001,Sonora,Kun Kaak Bay,NA,NA,NA,2003,"Barraza-Guardado, R., CortÈs-Altamirano, R., Sierra-Beltr·n, A. 2004. Marine die-offs from Chattonella marina and Ch. cf. ovata in Kun Kaak Bay, Sonora in the Gulf of California. Harmful Algae News. 25: 7-8."
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-02-002,"La Paz, B. C. S.",BahÌa de la Paz,NA,NA,NA,2002,"G·rate-Liz·rraga, I., Bustillos-Guzm·n, J. J., Erler, K., MuÒetÛn-GÛmez, M. S., Luckas, B., Tripp-Quezada, A. 2004. Paralytic shellfish toxins in the chocolata clam, Megapitaria squalida (Bivalvia: Veneridae), in BahÌa de la Paz, Gulf of California. Rev. Biol. Trop. 52(Suppl. 1): 133-140."
90,"Minimum (a few coves / narrow belts): ~20–40 km²; Likely (northern half of the bay plus adjacent nearshore belts, 0.5–2 km wide): ~60–120 km²; Upper plausible bound (broad coverage across most of the bay): ~180–260 km²",MX-02-001,Baja California,Bahia ConcepciÛn,NA,4/16/02,4/19/02,2002,"G·rate-Liz·rraga, I., Bustillos-Guzm·n, J. J., LÛpez-CortÈs, D. J., Hern·ndez-Sandoval, F., Erler, K., Luckas, B. 2006. Marine Pollution Bulletin. 52: 800-815."
90,"Minimum (a few coves / narrow belts): ~20–40 km²; Likely (northern half of the bay plus adjacent nearshore belts, 0.5–2 km wide): ~60–120 km²; Upper plausible bound (broad coverage across most of the bay): ~180–260 km²",MX-01-002,Baja California Sur,BahÌa ConcepciÛn,NA,NA,NA,2001,"Band-Schmidt, C. J., Bustillos-Guzm·n, J., G·rate-Liz·rraga, I., Lechuga-DevÈze, C. H., Reinhardt, K., Luckas, B. 2005. Paralytic shellfish toxin profile in strains of the dinoflagellate Gymnodinium catenatum Graham and the scallop Argopecten ventricosus G.B. Sowerby II from BahÌa ConcepciÛn, Gulf of California, MÈxico. Harmful Algae. 4: 21-31."
140,Minimum (localized slicks in inner bay/channels): ~20–40 km²; Likely (substantial portion of inner bay + channels): ~80–200 km²; Upper plausible bound (inner bay widely affected + spread into outer bay): ~300–500 km²,MX-01-001,"La Paz, B. C. S.",BahÌa de la Paz,NA,NA,NA,2001,"G·rate-Liz·rraga, I., Bustillos-Guzm·n, J. J., Erler, K., MuÒetÛn-GÛmez, M. S., Luckas, B., Tripp-Quezada, A. 2004. Paralytic shellfish toxins in the chocolata clam, Megapitaria squalida (Bivalvia: Veneridae), in BahÌa de la Paz, Gulf of California. Rev. Biol. Trop. 52(Suppl. 1): 133-140."
90,"Minimum (a few coves / narrow belts): ~20–40 km²; Likely (northern half of the bay plus adjacent nearshore belts, 0.5–2 km wide): ~60–120 km²; Upper plausible bound (broad coverage across most of the bay): ~180–260 km²",MX-00-003,Baja California Sur,BahÌa ConcepciÛn,NA,NA,NA,2000,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
90,"Minimum (a few coves / narrow belts): ~20–40 km²; Likely (northern half of the bay plus adjacent nearshore belts, 0.5–2 km wide): ~60–120 km²; Upper plausible bound (broad coverage across most of the bay): ~180–260 km²",MX-00-002,Baja California Sur,BahÌa ConcepciÛn,NA,NA,NA,2000,"Bustillos-Guzm·n, J. J., Band-Schmidt, C. J., Dur·n-Riveroll, L. M., Hern·ndez-Sandoval, F. E., LÛpez-CortÈs, D. J., N˙Òez-V·zquez, E. J., Cembella, A., Krock, B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum Graham from the Mexican Pacific as revealed by LC-MS/MS. Food Additives & Contaminants: Part A. 32(3): 381-394."
35,Minimum (patchy shore belts / coves only): ~5–10 km²; Likely (continuous nearshore band around most of the Ensenada; occasional spread into the La Paz–Pichilingue channel): ~20–50 km²; Upper plausible bound (if discoloration wrapped around the inner Mogote and widened during calm days): ~80–120 km²,MX-00-001,"La Paz, B. C. S.",La Ensenada de la Paz Shore,NA,9/15/00,9/28/00,2000,"G·rate-Liz·rraga, I., LÛpez-CortÈs, D.J., Bustillos-Guzm·n, J.J., Hern·ndez-Sandoval, F. 2000. Blooms of Cochlodinium polykrikoides (Gymnodiniaceae) in the Gulf of California, Mexico. Rev. Biol. Trop. 52 (Suppl. 1): 51-58."
