occ_ind,tourism,marine,category1,category2,category3,occ_ind_id,count
"Support workers in the food, beverage, and tobacco industries --- Food manufacturing",x,,food_services,general,tourism,9236---3110,145
"Support workers in the food, beverage, and tobacco industries --- Retail trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,9236---4611,13
"Support workers in the food, beverage, and tobacco industries --- Beverage and tobacco manufacturing",x,,food_services,general,tourism,9236---3120,9
"Workers in the processing of meat, fish, and related products --- Food and beverage preparation services",x,,food_services,general,tourism,7511---7221,9
Food preparation assistants --- Food manufacturing,x,,food_services,general,tourism,9411---3110,8
Cooks --- Food manufacturing,x, ,food_services,general,tourism,5111---3110,4
Street food vendors and preparers --- Livestock farming and animal breeding,x,,food_services,general,tourism,9521---1121,1
"Food preparation assistants --- Retail trade of groceries, food, beverages, ice, and tobacco",x,,food_services,general,tourism,9411---4611,1
"Administrative, marketing, and international trade assistants --- Food and beverage preparation services by workers in mobile units",x,,food_services,general,tourism,2511---7222,1
"Professionals and consultants in marketing, advertising, communication, and international trade --- Food and beverage preparation services",x,,food_services,general,tourism,2112---7221,1
"Workers in the production of fruit, vegetable, and legume-based products --- Food and beverage preparation services by workers in mobile units",x,,food_services,general,tourism,7514---7222,1
Assistants and technicians in video recording and playback equipment --- Food and beverage preparation services,x,,food_services,general,tourism,2653---7221,1
"Support workers in the food, beverage, and tobacco industries --- Wholesale trade of agricultural and forestry raw materials, industrial supplies, and scrap materials",x,,food_services,general,tourism,9236---4340,1
Administrators and professionals in human resources and management systems --- Food and beverage preparation services,x,,food_services,general,tourism,2111---7221,1
Directors and managers in information technology --- Food and beverage preparation services,x,,food_services,general,tourism,1321---7221,1
"Coordinators and department heads in accounting, financial services, banking, and insurance --- Food and beverage preparation services",x,,food_services,general,tourism,1512---7221,1
Warehouse and stock control workers --- Food and beverage preparation services,x,,food_services,general,tourism,3132---7221,1
"Workers in the processing of meat, fish, and related products --- Food and beverage preparation services by workers in mobile units",x,,food_services,general,tourism,7511---7222,1
"Food preparation assistants --- Investigation, protection, and security services",x,,food_services,general,tourism,9411---5614,1
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Food manufacturing",x,,food_services,tourism-oriented,tourism,5101---3110,2
Busboys and cleaning staff in hotels and restaurants --- Food and beverage preparation services,x,,food_services,tourism-oriented,tourism,9623---7221,54
Directors and managers in restaurants and hotels --- Food and beverage preparation services,x,,food_services,tourism-oriented,tourism,1412---7221,71
Coordinators and department heads in restaurants and hotels --- Food and beverage preparation services,x,,food_services,tourism-oriented,tourism,1712---7221,7
Directors and managers in restaurants and hotels --- NA,x,,food_services,tourism-oriented,tourism,1412---9800,2
Coordinators and department heads in restaurants and hotels --- Temporary accommodation services,x,,food_services,tourism-oriented,tourism,1712---7210,2
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Food and beverage preparation services by workers in mobile units",x,,food_services,tourism-oriented,tourism,5101---7222,1
Bartenders --- Temporary accommodation services,x,,food_services,tourism-oriented,tourism,5115---7210,16
Hostesses and event attendants --- Food and beverage preparation services,x,,food_services,tourism-oriented,tourism,4232---7221,12
Food preparation assistants --- Temporary accommodation services,x,,food_services,tourism-oriented,tourism,9411---7210,12
Waiters --- Entertainment services at recreational facilities and other recreational services,x,,food_services,tourism-oriented,tourism,5116---7131,7
Cooks --- Entertainment services at recreational facilities and other recreational services,x,,food_services,tourism-oriented,tourism,5111---7131,6
"Workers in the production of bread, tortillas, pastries, and other cereal and flour products --- Temporary accommodation services",x,,food_services,tourism-oriented,tourism,7513---7210,4
Bartenders --- Nightclubs,x,,food_services,tourism-oriented,tourism,5115---7223,2
Bartenders --- Entertainment services at recreational facilities and other recreational services,x,,food_services,tourism-oriented,tourism,5115---7131,2
Cooks --- Nightclubs,x,,food_services,tourism-oriented,tourism,5111---7223,2
Waiters --- Nightclubs,x,,food_services,tourism-oriented,tourism,5116---7223,2
Cooks --- Tourist transportation,x,,food_services,tourism-oriented,tourism,5111---4870,1
Parking attendants and valets --- Food and beverage preparation services,x,,food_services,tourism-oriented,tourism,9633---7221,1
"Support workers in the food, beverage, and tobacco industries --- Transportation support services",x,,food_services,tourism-oriented,tourism,9236---4881,1
Foreign language instructors --- Food and beverage preparation services,x,,food_services,tourism-oriented,tourism,2714---7221,1
"Taco makers, fast food preparers, and snack vendors --- Temporary accommodation services",x,,food_services,tourism-oriented,tourism,5114---7210,1
"Support workers in the food, beverage, and tobacco industries --- Temporary accommodation services",x,,food_services,tourism-oriented,tourism,9236---7210,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Municipal public administration",x,,research,biology,research,2612---9314,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Professional, scientific, and technical services",x,,research,biology,research,2612---5411,3
"Assistants and technicians in biological, chemical, and environmental sciences --- State public administration",x,,research,biology,research,2612---9313,3
"Assistants and technicians in biological, chemical, and environmental sciences --- Scientific research and development services",x,,research,biology,research,2612---5412,2
"Assistants and technicians in biological, chemical, and environmental sciences --- Computer, communication, measurement, and other electronic equipment manufacturing",x,,research,biology,research,2612---3340,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Retail trade of motor vehicles, parts, fuels, and lubricants",x,,research,biology,research,2612---4681,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Federal public administration",x,,research,biology,research,2612---9312,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Professional, scientific, and technical services",x,,research,biology,research,8342---5411,2
"Assistants and technicians in biological, chemical, and environmental sciences --- Water collection, treatment, and supply",x,,research,biology,research,2612---2212,2
"Ecologists and atmospheric scientists --- Professional, scientific, and technical services",x,,research,ecology,research,2223---5411,3
"Ecologists and atmospheric scientists --- Wholesale trade of groceries, food, beverages, ice, and tobacco",x,,research,ecology,research,2223---4310,1
"Ecologists and atmospheric scientists --- Business support services, employment services, and secretarial support",x,,research,ecology,research,2223---5611,1
"Ecologists and atmospheric scientists --- Electrical equipment, appliance, and component manufacturing",x,,research,ecology,research,2223---3350,1
"Biologists, marine scientists, and oceanographers --- Professional, scientific, and technical services",x,x,research,marine,research,2221---5411,2
"Biologists, marine scientists, and oceanographers --- Public universities and higher education institutions",x,x,research,marine,research,2221---6132,2
"Biologists, marine scientists, and oceanographers --- Federal public administration",x,x,research,marine,research,2221---9312,1
"Biologists, marine scientists, and oceanographers --- Computer, communication, measurement, and other electronic equipment manufacturing",x,x,research,marine,research,2221---3340,1
"Biologists, marine scientists, and oceanographers --- Water collection, treatment, and supply",x,x,research,marine,research,2221---2212,1
"Plumbers, pipefitters, and pipeline installers --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,7134---7210,10
House painters and general painters --- Temporary accommodation services,x,,temporary-accomodations,construction,tourism,7135---7210,9
"Technicians in installation, repair, and maintenance of refrigeration, climate control, and air conditioning equipment --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,2637---7210,6
Electricians and linemen --- Temporary accommodation services,x,,temporary-accomodations,construction,tourism,2642---7210,5
Support workers in construction --- Temporary accommodation services,x,,temporary-accomodations,construction,tourism,9221---7210,4
Electrical technicians --- Temporary accommodation services,x,,temporary-accomodations,construction,tourism,2641---7210,3
"Floor installers, tile setters, and tile layers --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,7132---7210,2
"Installers of insulation, waterproofing, glass, and other materials --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,7133---7210,1
"Support workers in the electrical, electronic, and communications industries --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,9232---7210,2
"Supervisors of electrical, electronics, telecommunications, and electromechanical equipment technicians --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,2640---7210,2
"Mechanics in installation, repair, and maintenance of refrigeration, climate control, and air conditioning equipment --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,2638---7210,2
"Carpenters, cabinetmakers, and wood planers --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,7311---7210,2
Support workers in plumbing and pipe installation --- Temporary accommodation services,x,,temporary-accomodations,construction,tourism,9222---7210,2
"Technicians in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment) --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,2643---7210,1
"Directors and managers in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,1315---7210,1
"Coordinators and department heads in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,1615---7210,1
"Supervisors in extraction, masonry, and construction finishing work --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,7101---7210,1
Wood painters and varnishers --- Temporary accommodation services,x,,temporary-accomodations,construction,tourism,7312---7210,1
"Workers in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment) --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,2644---7210,1
Other artisanal workers not previously classified --- Temporary accommodation services,x,,temporary-accomodations,construction,tourism,7999---7210,1
"Architects, urban planners, and transportation planners --- Temporary accommodation services",x,,temporary-accomodations,construction,tourism,2263---7210,1
Housekeepers and room attendants --- Temporary accommodation services,x,,temporary-accomodations,maintenance,tourism,9622---7210,78
Busboys and cleaning staff in hotels and restaurants --- Temporary accommodation services,x,,temporary-accomodations,maintenance,tourism,9623---7210,57
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Temporary accommodation services",x,,temporary-accomodations,maintenance,tourism,9601---7210,15
Sweepers and cleaning workers (except in hotels and restaurants) --- Temporary accommodation services,x,,temporary-accomodations,maintenance,tourism,9621---7210,14
"Sweepers and cleaning workers (except in hotels and restaurants) --- Passenger ground transportation, except rail",x,,temporary-accomodations,maintenance,tourism,9621---4850,7
Housekeepers and room attendants --- NA,x,,temporary-accomodations,maintenance,tourism,9622---9800,5
Housekeepers and room attendants --- Real estate services,x,,temporary-accomodations,maintenance,tourism,9622---5310,3
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Food and beverage preparation services",x,,temporary-accomodations,maintenance,tourism,9601---7221,2
Gardeners in establishments --- Temporary accommodation services,x,,temporary-accomodations,maintenance,tourism,5241---7210,9
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Green space maintenance, cleaning, and landscaping services",x,,temporary-accomodations,maintenance,tourism,9601---5613,8
"Housekeepers and room attendants --- Green space maintenance, cleaning, and landscaping services",x,,temporary-accomodations,maintenance,tourism,9622---5613,1
Laundry workers in establishments --- Temporary accommodation services,x,,temporary-accomodations,maintenance,tourism,9641---7210,9
Warehouse and stock control workers --- Temporary accommodation services,x,,temporary-accomodations,maintenance,tourism,3132---7210,5
"Supervisors of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments, and refrigeration equipment --- Temporary accommodation services",x,,temporary-accomodations,maintenance,tourism,2630---7210,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Specialty trade contractors for construction",x,,temporary-accomodations,maintenance,tourism,9601---2381,1
Supervisors of personal care and household workers --- Temporary accommodation services,x,,temporary-accomodations,maintenance,tourism,5201---7210,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Retail trade of motor vehicles, parts, fuels, and lubricants",x,,temporary-accomodations,maintenance,tourism,9601---4681,1
"Busboys and cleaning staff in hotels and restaurants --- Green space maintenance, cleaning, and landscaping services",x,,temporary-accomodations,maintenance,tourism,9623---5613,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Waste management and remediation services (public sector)",x,,temporary-accomodations,maintenance,tourism,9601---5622,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Transportation equipment manufacturing",x,,temporary-accomodations,maintenance,tourism,9601---3360,1
Directors and managers in restaurants and hotels --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,1412---7210,31
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Temporary accommodation services",x,,temporary-accomodations,management-admin,tourism,5101---7210,10
Administrative support workers in various activities --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,3115---7210,8
"Administrative, marketing, and international trade assistants --- Temporary accommodation services",x,,temporary-accomodations,management-admin,tourism,2511---7210,6
Accountants and auditors --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,2121---7210,5
"Coordinators and department heads in administration, human resources, and marketing --- Temporary accommodation services",x,,temporary-accomodations,management-admin,tourism,1511---7210,3
Supervisors of workers who provide and manage information --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,3201---7210,3
"Accounting, finance assistants, and stockbrokers --- Temporary accommodation services",x,,temporary-accomodations,management-admin,tourism,2512---7210,3
Data entry clerks --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,3113---7210,3
"Directors and managers in sales, marketing, and rentals --- Temporary accommodation services",x,,temporary-accomodations,management-admin,tourism,1411---7210,2
"Illustrators, artistic designers, and printmakers --- Temporary accommodation services",x,,temporary-accomodations,management-admin,tourism,2162---7210,2
Directors and managers in restaurants and hotels --- Food manufacturing,x,,temporary-accomodations,management-admin,tourism,1412---3110,1
Financial advisors and analysts --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,2122---7210,1
Presidents and general managers in private institutions and companies --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,1122---7210,1
Software and multimedia developers and analysts --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,2271---7210,1
Coordinators and department heads in security and surveillance services --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,1526---7210,1
Directors and managers in information technology --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,1321---7210,1
Lawyers --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,2135---7210,1
Supervisors in protection and security services --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,5301---7210,1
"Coordinators and department heads in restaurants and hotels --- Business support services, employment services, and secretarial support",x,,temporary-accomodations,management-admin,tourism,1712---5611,1
Directors and managers in restaurants and hotels --- Transportation equipment manufacturing,x,,temporary-accomodations,management-admin,tourism,1412---3360,1
Secretaries --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,3111---7210,1
Database and computer network administrators --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,2272---7210,1
Administrators and professionals in human resources and management systems --- Temporary accommodation services,x,,temporary-accomodations,management-admin,tourism,2111---7210,1
Animal trainers and pet care workers --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,5254---7210,1
Guards and security personnel in establishments --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,5313---7210,25
Telephone operators and telegraph operators --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,3213---7210,3
Hostesses and event attendants --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,4232---7210,1
Parking attendants and valets --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,9633---7210,2
"Event, sports, and amusement park support workers --- Temporary accommodation services",x,,temporary-accomodations,service,tourism,9713---7210,2
"Parking attendants and valets --- Business support services, employment services, and secretarial support",x,,temporary-accomodations,service,tourism,9633---5611,1
Receptionists and information clerks (in-person) --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,3211---7210,58
"Cashiers, ticket sellers, betting clerks, and similar workers --- Temporary accommodation services",x,,temporary-accomodations,service,tourism,3121---7210,5
Bathhouse attendants and massage therapists --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,5213---7210,5
"Parcel workers, bellhops, and hotel porters --- Temporary accommodation services",x,,temporary-accomodations,service,tourism,9711---7210,7
Real estate agents --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,4223---7210,4
"Parcel workers, bellhops, and hotel porters --- Transportation support services",x,,temporary-accomodations,service,tourism,9711---4881,3
"Sales agents, representatives, and consignees --- Temporary accommodation services",x,,temporary-accomodations,service,tourism,4221---7210,2
Sports coaches and technical directors --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,2562---7210,1
"Parcel workers, bellhops, and hotel porters --- Air transportation",x,,temporary-accomodations,service,tourism,9711---4810,2
"Collection agents, paymasters, and money lenders --- Temporary accommodation services",x,,temporary-accomodations,service,tourism,3122---7210,1
"Makeup artists, manicurists, pedicurists, and tattoo artists --- Temporary accommodation services",x,,temporary-accomodations,service,tourism,5212---7210,1
Nutritionists --- Entertainment services at recreational facilities and other recreational services,x,,temporary-accomodations,service,tourism,2433---7131,1
Event hosts and organizers --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,2552---7210,1
Rental service workers for real estate --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,4311---7210,1
Other protection and security service workers not previously classified --- Temporary accommodation services,x,,temporary-accomodations,service,tourism,5319---7210,1
"Sweepers and cleaning workers (except in hotels and restaurants) --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,9621---4882,3
"Motor vehicle maintenance and repair technicians --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,2631---4882,1
"Coordinators and department heads in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,1615---4882,1
"Motor vehicle mechanics --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,2632---4882,4
"Glass workers and similar artisans --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,7613---4882,3
"Plumbers, pipefitters, and pipeline installers --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,7134---4882,2
"Sheet metal workers, panel beaters, tinsmiths, and metal painters --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,7213---4882,2
"Support workers in construction --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,9221---4882,1
"Sweepers and cleaning workers (except in hotels and restaurants) --- Interior cleaning services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,9621---5612,1
"Operators of machines for cutting, drilling, bending, stamping, welding, and shaping metal pieces and products --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,8123---4882,1
"Mechanical engineers --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,2252---4882,1
"Guards and security personnel in establishments --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,5313---4882,1
"Supervisors of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments, and refrigeration equipment --- Cleaning and repair services for aircraft, ships, and trains",x,,transportation,air-ships-trains,tourism,2630---4882,1
Customs and border agents --- Air transportation,x,,transportation,air-ships-trains,tourism,2522---4810,1
Flight attendants and cabin crew --- Air transportation,x,,transportation,airline,tourism,5231---4810,4
Aviation pilots --- Air transportation,x,,transportation,airline,tourism,8311---4810,4
Transport dispatchers --- Air transportation,x,,transportation,airline,tourism,3141---4810,5
Aviation pilots --- NA,x,,transportation,airline,tourism,8311---9800,1
Aviation pilots --- Real estate services,x,,transportation,airline,tourism,8311---5310,1
Aviation pilots --- State public administration,x,,transportation,airline,tourism,8311---9313,1
Motor vehicle mechanics --- Air transportation,x,,transportation,airline,tourism,2632---4810,1
Vocational and trade instructors and trainers --- Air transportation,x,,transportation,airline,tourism,2715---4810,1
Aviation pilots --- Non-residential building construction,x,,transportation,airline,tourism,8311---2363,1
Administrative support workers in various activities --- Air transportation,x,,transportation,airline,tourism,3115---4810,1
Receptionists and information clerks (in-person) --- Air transportation,x,,transportation,airline,tourism,3211---4810,1
"Traffic controllers for other modes of transport (land, rail, and maritime) --- Waste management and remediation services (private sector)",x,,transportation,airline,tourism,2662---5621,1
Air traffic controllers --- Transportation support services,x,,transportation,airline,tourism,2661---4881,1
Industrial engineers --- Air transportation,x,,transportation,airline,tourism,2253---4810,1
"Cashiers, ticket sellers, betting clerks, and similar workers --- Transportation support services",x,,transportation,general,tourism,3121---4881,3
"Accounting, finance assistants, and stockbrokers --- Transportation support services",x,,transportation,general,tourism,2512---4881,4
"Supervisors of secretaries, typists, cashiers, and file and transportation control workers --- Transportation support services",x,,transportation,general,tourism,3101---4881,3
Coordinators and department heads in transportation services --- Transportation support services,x,,transportation,general,tourism,1623---4881,3
Data entry clerks --- Transportation support services,x,,transportation,general,tourism,3113---4881,2
Unspecified occupations --- Transportation support services,x,,transportation,general,tourism,9999---4881,2
Guards and security personnel in establishments --- Transportation support services,x,,transportation,general,tourism,5313---4881,3
Telephone operators and telegraph operators --- Transportation support services,x,,transportation,general,tourism,3213---4881,1
Transport checkers and inspectors --- Transportation support services,x,,transportation,general,tourism,3142---4881,1
"Traffic controllers for other modes of transport (land, rail, and maritime) --- Transportation support services",x,,transportation,general,tourism,2662---4881,1
Secretaries --- Transportation support services,x,,transportation,general,tourism,3111---4881,2
"Technicians in installation and repair of networks, equipment, and computer systems --- Transportation support services",x,,transportation,general,tourism,2651---4881,1
"Directors and managers in administration, human resources, and marketing --- Transportation support services",x,,transportation,general,tourism,1211---4881,1
Accountants and auditors --- Transportation support services,x,,transportation,general,tourism,2121---4881,1
"Collection agents, paymasters, and money lenders --- Transportation support services",x,,transportation,general,tourism,3122---4881,1
"Coordinators and department heads in sales, marketing, and rentals --- Passenger ground transportation, except rail",x,,transportation,general,tourism,1711---4850,1
"Coordinators and department heads in administration, human resources, and marketing --- Transportation support services",x,,transportation,general,tourism,1511---4881,1
Administrative support workers in various activities --- Transportation support services,x,,transportation,general,tourism,3115---4881,5
Insurance and financial services agents (account executives) --- Transportation support services,x,,transportation,general,tourism,4222---4881,1
Directors and managers in transportation services --- Transportation support services,x,,transportation,general,tourism,1323---4881,1
Gardeners in establishments --- Transportation support services,x,,transportation,general,tourism,5241---4881,1
Sweepers and cleaning workers (except in hotels and restaurants) --- Transportation support services,x,,transportation,general,tourism,9621---4881,1
Electricians and linemen --- Transportation support services,x,,transportation,general ,tourism,2642---4881,1
Software and multimedia developers and analysts --- Transportation support services,x,,transportation,general ,tourism,2271---4881,1
"Cashiers, ticket sellers, betting clerks, and similar workers --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,3121---4850,14
"Sales clerks, dispatchers, and sales associates in stores --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,4211---4850,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,8342---4850,505
"Motorcycle drivers --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,8344---4850,13
"Bus, truck, van, taxi, and passenger vehicle drivers --- NA",x,,transportation,passenger-ground,tourism,8342---9800,5
"Truck, van, and freight vehicle drivers --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,8341---4850,4
"Bus, truck, van, taxi, and passenger vehicle drivers --- Personal services",x,,transportation,passenger-ground,tourism,8342---8121,4
"Bus, truck, van, taxi, and passenger vehicle drivers --- Federal public administration",x,,transportation,passenger-ground,tourism,8342---9312,4
"Bus, truck, van, taxi, and passenger vehicle drivers --- Real estate services",x,,transportation,passenger-ground,tourism,8342---5310,3
"Bus, truck, van, taxi, and passenger vehicle drivers --- Transportation support services",x,,transportation,passenger-ground,tourism,8342---4881,3
"Bus, truck, van, taxi, and passenger vehicle drivers --- NA",x,,transportation,passenger-ground,tourism,8342---9700,1
"Data entry clerks --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,3113---4850,2
"Transport checkers and inspectors --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,3142---4850,11
"Coordinators and department heads in transportation services --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,1623---4850,4
"Software and multimedia developers and analysts --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,2271---4850,3
"Accountants and auditors --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,2121---4850,3
"Supervisors of transportation and mobile machinery drivers --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,8301---4850,3
"Directors and managers in transportation services --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,1323---4850,3
"Coordinators and department heads in administration, human resources, and marketing --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,1511---4850,2
"Accounting, finance assistants, and stockbrokers --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,2512---4850,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Business support services, employment services, and secretarial support",x,,transportation,passenger-ground,tourism,8342---5611,1
"Transport dispatchers --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,3141---4850,2
"Sheet metal workers, panel beaters, tinsmiths, and metal painters --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,7213---4850,1
"Sales agents, representatives, and consignees --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,4221---4850,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Civil engineering construction",x,,transportation,passenger-ground,tourism,8342---2370,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Legislative bodies",x,,transportation,passenger-ground,tourism,8342---9311,1
"Supervisors of secretaries, typists, cashiers, and file and transportation control workers --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,3101---4850,1
"Car washers in establishments --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,9631---4850,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Investigation, protection, and security services",x,,transportation,passenger-ground,tourism,8342---5614,1
"Supervisors in protection and security services --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,5301---4850,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Insufficiently specified descriptions of the transportation sector",x,,transportation,passenger-ground,tourism,8342---4899,1
Supervisors of transportation and mobile machinery drivers --- Transportation support services,x,,transportation,passenger-ground,tourism,8301---4881,1
"Guards and security personnel in establishments --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,5313---4850,1
"Administrative support workers in various activities --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,3115---4850,1
"Receptionists and information clerks (in-person) --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,3211---4850,1
"Collection agents, paymasters, and money lenders --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,3122---4850,1
"Telephone operators and telegraph operators --- Passenger ground transportation, except rail",x,,transportation,passenger-ground,tourism,3213---4850,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Wholesale trade of groceries, food, beverages, ice, and tobacco",x,,transportation,passenger-ground,tourism,8342---4310,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Generation, transmission, distribution, and commercialization of electric power",x,,transportation,passenger-ground,tourism,8342---2211,1
"Railway transport operators (trains, subways, and light rail) --- Rail transportation",x,,transportation,railway,tourism,8331---4820,4
Assistants to railway transport operators --- Rail transportation,x,,transportation,railway,tourism,9312---4820,1
"Car washers in establishments --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,9631---5321,2
"Administrative support workers in various activities --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,3115---5321,2
"Supervisors in rental services --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,4301---5321,2
"Presidents and general managers in private institutions and companies --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,1122---5321,1
"Rental service workers for movable goods --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,4312---5321,4
"Sales agents, representatives, and consignees --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,4221---5321,2
"Rental service workers for movable goods --- Passenger ground transportation, except rail",x,,transportation,rentals,tourism,4312---4850,1
"Data entry clerks --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,3113---5321,1
"Motor vehicle maintenance and repair technicians --- Rental services for automobiles, trucks, and other ground transportation",x,,transportation,rentals,tourism,2631---5321,1
