landing_site,landing_site_key,habitat,lat,lon,Notes,OHI_rgn,state
PLAYA LA FORTUNA,1401009,marine,19.29,-104.826,Costa Alegre,NA,Jalisco
ZAPOTLAN DEL REY,1405008,freshwater,20.408,-102.912,east Jalisco,NA,Jalisco
PRESA EL SAUCILLO,1404057,freshwater,20.815,-103.04,inland Los Altos,Nayarit/Jalisco,Jalisco
EL PASADERO DE PIEDRA,1202114,marine,NA,NA,"1202 prefix _ Sonora area, looks like landing in coastal Sonora near Guaymas",NA,Jalisco
CHICURA,2507127,marine,NA,NA,"2507 _ Sinaloa, likely near Culiacán / Altata",NA,Jalisco
LAGUNA EL CAPULIN,1401034,freshwater,19.65,-103.45,Jalisco interior,NA,Jalisco
BORDO HUATEPIQUE,1404007,freshwater,20.53,-103.15,Jalisco,Nayarit/Jalisco,Jalisco
PRESA LA TINAJA,1404008,freshwater,20.54,-103.16,Jalisco,Nayarit/Jalisco,Jalisco
EMBARCADERO LA PRESA,1805011,freshwater,NA,NA,"appears Hidalgo/Querétaro, not Jalisco",NA,Jalisco
EL CARRIZO,1202161,marine,NA,NA,"1202 _ Sonora, not Jalisco",NA,Jalisco
LA CORTINA (EL CAJON),1804052,freshwater,21.15,-104.75,El Cajón is a major hydro dam in Nayarit (close to Jalisco but not Jalisco),Nayarit/Jalisco,Jalisco
PRESA EL CAJON,1404085,freshwater,20.39,-103.32,Jalisco (different from Nayarit El Cajón),NA,Jalisco
PRESA LA GUADALUPE,1403097,freshwater,20.66,-103.22,Jalisco,Nayarit/Jalisco,Jalisco
BORDO LOS PATOS,1404113,freshwater,20.58,-103.19,Jalisco interior,Nayarit/Jalisco,Jalisco
PRESA VALERIO,1404121,freshwater,20.59,-103.2,Jalisco,Nayarit/Jalisco,Jalisco
100 MTS DEL PASADERO DE LA COOP. CHAMPERICO.,702006,marine,NA,NA,Champerico = Guatemala (!) outside Mexico/Jalisco,NA,Jalisco
PRESA EPIFANIA,1404837,freshwater,20.8,-103.33,Jalisco,Nayarit/Jalisco,Jalisco
"PRESA """"CASA BLANCA""""",1404114,freshwater,20.57,-103.17,Jalisco,Nayarit/Jalisco,Jalisco
LA PALAPA,1406021,marine,20.55,-105.22,near Puerto Vallarta coast,Nayarit/Jalisco,Jalisco
PRESA CARROZAS,1404117,freshwater,20.6,-103.19,Jalisco,Nayarit/Jalisco,Jalisco
a,1404116,freshwater,NA,NA,"Name is junk, but key indicates reservoir cluster around Los Patos/Valerio",NA,Jalisco
PRESA SAN JOSE,1404039,freshwater,20.72,-103.12,Jalisco,Nayarit/Jalisco,Jalisco
"CORTINA, LA",1804012,freshwater,NA,NA,"Nayarit, not Jalisco",NA,Jalisco
BORDO COPALES,1404111,freshwater,20.58,-103.2,Jalisco,Nayarit/Jalisco,Jalisco
ARROYO DE LOS REYES,1404124,freshwater,20.59,-103.19,Jalisco,Nayarit/Jalisco,Jalisco
PRESA LAS TROJES,1404100,freshwater,20.6,-103.21,Jalisco,Nayarit/Jalisco,Jalisco
PLAYA CHALACATEPEC,1401099,marine,19.39,-105.05,Jalisco,NA,Jalisco
PRESA LAS PE√ëAS,1404843,freshwater,20.8,-103.33,Jalisco,Nayarit/Jalisco,Jalisco
BORDOS LA QUEMADA 1,1404134,freshwater,20.62,-103.19,Jalisco,Nayarit/Jalisco,Jalisco
LITORAL DEL OCEANO PACIFICO LIMITES DEL ESTADO DE JALISCO,1404132,marine,19.9,-105.4,Jalisco,NA,Jalisco
AGUA DULCE,2510001,marine,NA,NA,Veracruz,NA,Jalisco
LAGUNA DE PARAMAN,1401014,marine,19.42,-104.97,lagoon near Majahuas/Chamela,NA,Jalisco
ALVARADO,3001001,marine,NA,NA,Veracruz,NA,Jalisco
BORDO MIRAFLORES,1404021,freshwater,20.52,-103.14,Jalisco,Nayarit/Jalisco,Jalisco
PRESA EL OCOTE,1404080,freshwater,20.67,-103.3,Jalisco,Nayarit/Jalisco,Jalisco
PLAYITA DE ENMEDIO,601001,marine,19.37,-104.5,Nayarit–Jalisco coast,NA,Jalisco
RIO AMECA Y ARROYO DE LOS REYES,1404139,marine,20.61,-105.23,Jalisco,Nayarit/Jalisco,Jalisco
RIO MARABASCO,601016,marine,19.21,-104.68,Colima/Jalisco boundary,NA,Jalisco
EMBARCADERO PRESA LA YESCA,1406041,freshwater,21.12,-104.07,Nayarit/Jalisco border dam,Nayarit/Jalisco,Jalisco
PRESA EL HORNO,1404096,freshwater,20.82,-103.33,Jalisco,Nayarit/Jalisco,Jalisco
PRESA LAGUNILLAS,1404137,freshwater,20.64,-103.19,Jalisco,Nayarit/Jalisco,Jalisco
BORDO EL CASTILLO,1404136,freshwater,20.63,-103.18,Jalisco,Nayarit/Jalisco,Jalisco
PUENTE SAN PEDRO ANALCO,1406039,marine,20.55,-105.24,Jalisco,Nayarit/Jalisco,Jalisco
BAHIA DE PERULA,1406016,marine,19.38,-105.05,Jalisco,NA,Jalisco
RIO LAS JUNTAS,1406003,marine,20.65,-105.23,Jalisco,Nayarit/Jalisco,Jalisco
LAGUNA EL DELFIN,1406008,marine,19.4,-105.08,Jalisco,NA,Jalisco
ATOYAC,1404084,freshwater,20.55,-103.25,Jalisco,Nayarit/Jalisco,Jalisco
RIO AMECA,1807013,marine,20.65,-105.25,border (Jalisco–Nayarit),Nayarit/Jalisco,Jalisco
ESTANQUE DE LA MORA,1404083,freshwater,20.54,-103.26,Jalisco,Nayarit/Jalisco,Jalisco
ESTERO BOCANEGRA,1406028,marine,19.33,-105.01,Jalisco,NA,Jalisco
LOS PRADITOS,303114,marine,NA,NA,Veracruz,NA,Jalisco
EMBARCADERO LA CORTINA HOSTOTIPAQUILLO,1804065,freshwater,21.03,-104.86,Nayarit/Jalisco border,Nayarit/Jalisco,Jalisco
BORDO EL CANAL,1404126,freshwater,20.62,-103.2,Jalisco,Nayarit/Jalisco,Jalisco
AGUA CALIENTE,1605049,freshwater,NA,NA,Sinaloa,NA,Jalisco
PRESA LA CALERA,1404060,freshwater,20.72,-103.16,Jalisco,Nayarit/Jalisco,Jalisco
PUENTE DE ARCOS,1608039,freshwater,NA,NA,Sinaloa,NA,Jalisco
CORTINA DE LA PRESA,101001,freshwater,NA,NA,Nayarit (El Cajón zone),NA,Jalisco
RIO CRUCERO EL NARANJO,1404038,freshwater,20.56,-103.24,Jalisco,Nayarit/Jalisco,Jalisco
PRESA ADOLFO RUIZ CORTINEZ,2609013,freshwater,NA,NA,Sinaloa,NA,Jalisco
NI√ëOS HEROES,707033,marine,NA,NA,Oaxaca/Veracruz region,NA,Jalisco
CORONGOROS,1602029,freshwater,NA,NA,Sinaloa,NA,Jalisco
BORDO SANTA TERESA,1404003,freshwater,20.69,-103.2,Jalisco,Nayarit/Jalisco,Jalisco
DEGOLLADO,1404086,freshwater,20.47,-102.85,Jalisco,Nayarit/Jalisco,Jalisco
RIO LOMAS DE AIRE,1404044,freshwater,20.7,-103.15,Jalisco,Nayarit/Jalisco,Jalisco
BORDO EL REPARO,1404041,freshwater,20.69,-103.18,Jalisco,Nayarit/Jalisco,Jalisco
LA BARCA,1405004,freshwater,20.29,-102.56,Jalisco,NA,Jalisco
CHANTEPEC,1403013,freshwater,20.49,-103.15,Jalisco,Nayarit/Jalisco,Jalisco
UNION DE TULA,1404081,freshwater,19.96,-104.27,Jalisco,NA,Jalisco
PRESA LOS CIRUELOS,1404130,freshwater,20.61,-103.2,Jalisco,Nayarit/Jalisco,Jalisco
ESTANCIA DE CUITZEO,1405006,freshwater,20.28,-102.59,Jalisco,NA,Jalisco
PRESA LAS PINTAS,1404064,freshwater,20.58,-103.28,Jalisco,Nayarit/Jalisco,Jalisco
PRESA DEL AHOGADO,1404025,freshwater,20.6,-103.28,Jalisco,Nayarit/Jalisco,Jalisco
NA,NA,NA,NA,NA,NA,NA,Jalisco
PLAYA EL SALADO,1406032,marine,20.7,-105.24,near Boca de Tomatlán / PV coast,Nayarit/Jalisco,Jalisco
RIO BARRERA,1404058,freshwater,20.73,-103.21,inland,Nayarit/Jalisco,Jalisco
PRESA VIEJA,1404029,freshwater,20.72,-103.17,GDL south belt,Nayarit/Jalisco,Jalisco
ESTANQUE LOMA DEL AIRE,1404040,freshwater,20.71,-103.17,inland,Nayarit/Jalisco,Jalisco
RIO EL TANQUE,1404063,freshwater,20.68,-103.28,inland,Nayarit/Jalisco,Jalisco
"PRESA ""CHARCO AZUL""",1404109,freshwater,20.6,-103.19,inland cluster,Nayarit/Jalisco,Jalisco
EL PRETIL,1404876,freshwater,20.82,-103.32,Los Altos,Nayarit/Jalisco,Jalisco
PUNTA PE—ITAS,1406018,marine,19.33,-105,near Chamela/Costa Alegre,NA,Jalisco
ESTERO EL ERMITA—O,1406015,marine,19.34,-105.01,Costa Alegre,NA,Jalisco
LAS MARISMAS,1406029,marine,22.95,-105.91,northern boundary toward Nayarit wetland system,Nayarit/Jalisco,Jalisco
SAN NICOLAS DE ACU—A,1403010,freshwater,20.51,-103.13,inland,Nayarit/Jalisco,Jalisco
PRESA CAJON DE PE—AS,1406006,freshwater,19.47,-104.96,very large dam in southern Jalisco,NA,Jalisco
PRESA LA CA—ADA,1404090,freshwater,20.73,-103.2,inland,Nayarit/Jalisco,Jalisco
BORDO EL AGUAJE,1404125,freshwater,20.61,-103.2,inland,Nayarit/Jalisco,Jalisco
