occ_ind,occ_ind_id,count
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Food and beverage preparation services by workers in mobile units",5101---7222,1
"Accounting, finance assistants, and stockbrokers --- Museums, historical sites, zoos, and similar establishments",2512---7120,1
"Data entry clerks --- Rental services for automobiles, trucks, and other ground transportation",3113---5321,1
"Motor vehicle maintenance and repair technicians --- Rental services for automobiles, trucks, and other ground transportation",2631---5321,1
Supervisors in protection and security services --- Entertainment services at recreational facilities and other recreational services,5301---7131,1
"Supervisors of electrical, electronics, telecommunications, and electromechanical equipment technicians --- Entertainment services at recreational facilities and other recreational services",2640---7131,1
"Gardeners in establishments --- Museums, historical sites, zoos, and similar establishments",5241---7120,1
"Workers in processing fish and aquaculture products --- Street vending of groceries, food, beverages, and tobacco",6213---4612,1
"Radio, television, and other media announcers --- Entertainment services at recreational facilities and other recreational services",2551---7131,1
"Sales agents, representatives, and consignees --- Passenger ground transportation, except rail",4221---4850,1
"Administrative, marketing, and international trade assistants --- Food and beverage preparation services by workers in mobile units",2511---7222,1
"Coordinators and area chiefs in artistic activities, film, theater, and related fields --- Professional, scientific, and technical services",1721---5411,1
Warehouse and stock control workers --- Food and beverage preparation services,3132---7221,1
Sweepers and cleaning workers (except in hotels and restaurants) --- Fishing,9621---1141,1
"Professionals in archival studies, library science, and museology --- Promoters, agents, and representatives of artistic, sports, and similar events",2144---7113,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Civil engineering construction",8342---2370,1
"Collection agents, paymasters, and money lenders --- Temporary accommodation services",3122---7210,1
"Workers in the care and breeding of other types of animals --- Museums, historical sites, zoos, and similar establishments",6127---7120,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Transportation equipment manufacturing",8342---3360,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Corporate services",8342---5510,1
Event hosts and organizers --- Performing arts and cultural groups,2552---7111,1
"Deck officers, mates, and pilots --- Fishing",8322---1141,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Transportation equipment manufacturing",9601---3360,1
"Directors and managers in administration, human resources, and marketing --- Travel agencies and reservation services",1211---5615,1
"Technicians in installation and repair of networks, equipment, and computer systems --- Performing arts and cultural groups",2651---7111,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Legislative bodies",8342---9311,1
"Support workers in the food, beverage, and tobacco industries --- Transportation equipment manufacturing",9236---3360,1
Aviation pilots --- State public administration,8311---9313,1
Parking attendants and valets --- Food and beverage preparation services,9633---7221,1
"Biologists, marine scientists, and oceanographers --- Federal public administration",2221---9312,1
Street food vendors and preparers --- Livestock farming and animal breeding,9521---1121,1
"Professionals and consultants in marketing, advertising, communication, and international trade --- Food and beverage preparation services",2112---7221,1
"Workers in the production of fruit, vegetable, and legume-based products --- Food and beverage preparation services by workers in mobile units",7514---7222,1
"Support workers in construction --- Cleaning and repair services for aircraft, ships, and trains",9221---4882,1
"Supervisors of secretaries, typists, cashiers, and file and transportation control workers --- Passenger ground transportation, except rail",3101---4850,1
"Technicians in installation and repair of networks, equipment, and computer systems --- Transportation support services",2651---4881,1
Assistants and technicians in video recording and playback equipment --- Food and beverage preparation services,2653---7221,1
Supervisors of workers who provide and manage information --- Tourist transportation,3201---4870,1
"Professionals and consultants in marketing, advertising, communication, and international trade --- Entertainment services at recreational facilities and other recreational services",2112---7131,1
"Directors and managers in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Temporary accommodation services",1315---7210,1
"Makeup artists, manicurists, pedicurists, and tattoo artists --- Temporary accommodation services",5212---7210,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Personal services",1722---8121,1
Motor vehicle mechanics --- Air transportation,2632---4810,1
"Sales clerks, dispatchers, and sales associates in stores --- Museums, historical sites, zoos, and similar establishments",4211---7120,1
"Car washers in establishments --- Passenger ground transportation, except rail",9631---4850,1
"Supervisors, foremen, and managers in fishing, aquaculture, forestry, hunting, and related activities --- Aquaculture",6201---1122,1
Vocational and trade instructors and trainers --- Air transportation,2715---4810,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Specialty trade contractors for construction",9601---2381,1
"Administrative, marketing, and international trade assistants --- Tourist transportation",2511---4870,1
"Food preparation assistants --- Retail trade of groceries, food, beverages, ice, and tobacco",9411---4611,1
"Sweepers and cleaning workers (except in hotels and restaurants) --- Interior cleaning services for aircraft, ships, and trains",9621---5612,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Public primary, secondary, and special education schools",1722---6112,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Real estate services",1722---5310,1
"Directors and managers in accounting, financial services, banking, and insurance --- Aquaculture",1212---1122,1
"Administrative, marketing, and international trade assistants --- Transportation support services",2511---4881,1
Support workers in the textile and footwear industries --- Fishing,9235---1141,1
Food preparation assistants --- Public hospitals,9411---6222,1
Vegetable and produce workers --- Support activities for agriculture and forestry,6112---1150,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Entertainment services at recreational facilities and other recreational services",8342---7131,1
Fisheries and aquaculture professionals --- Fishing,2234---1141,1
"Truck, van, and freight vehicle drivers --- Tourist transportation",8341---4870,1
"Bricklayers, masons, and related workers --- Entertainment services at recreational facilities and other recreational services",7121---7131,1
Sex workers --- Food and beverage preparation services,5252---7221,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Computer, communication, measurement, and other electronic equipment manufacturing",2612---3340,1
"Support workers in the food, beverage, and tobacco industries --- Wholesale trade of agricultural and forestry raw materials, industrial supplies, and scrap materials",9236---4340,1
"Supervisors of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments, and refrigeration equipment --- Cleaning and repair services for aircraft, ships, and trains",2630---4882,1
Supervisors of sales and financial services employees --- Transportation support services,4201---4881,1
Administrators and professionals in human resources and management systems --- Food and beverage preparation services,2111---7221,1
"Coordinators and department heads in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Temporary accommodation services",1615---7210,1
"Operators of machines for cutting, drilling, bending, stamping, welding, and shaping metal pieces and products --- Cleaning and repair services for aircraft, ships, and trains",8123---4882,1
Nutritionists --- Entertainment services at recreational facilities and other recreational services,2433---7131,1
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Private hospitals",5101---6221,1
"Biologists, marine scientists, and oceanographers --- Computer, communication, measurement, and other electronic equipment manufacturing",2221---3340,1
"Mining, metallurgical, and petroleum technicians and assistants --- Support activities for agriculture and forestry",2623---1150,1
"Coordinators and department heads in accounting, financial services, banking, and insurance --- Promoters, agents, and representatives of artistic, sports, and similar events",1512---7113,1
Nursery and greenhouse workers --- Entertainment services at recreational facilities and other recreational services,6223---7131,1
Supervisors in protection and security services --- Temporary accommodation services,5301---7210,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Waste management and remediation services (public sector)",9601---5622,1
"Tailors, dressmakers, sewers, and garment and accessory makers (fabric, leather, and similar materials) --- Food and beverage preparation services",7341---7221,1
"Supervisors in extraction, masonry, and construction finishing work --- Temporary accommodation services",7101---7210,1
Food preparation assistants --- Municipal public administration,9411---9314,1
Waiters --- Private universities and higher education institutions,5116---6131,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Investigation, protection, and security services",8342---5614,1
Nutritionists --- Food and beverage preparation services,2433---7221,1
"Directors and managers in administration, human resources, and marketing --- Transportation support services",1211---4881,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Public hospitals",2612---6222,1
Cooks --- Personal services,5111---8121,1
Motor vehicle mechanics --- Tourist transportation,2632---4870,1
"Supervisors in protection and security services --- Passenger ground transportation, except rail",5301---4850,1
"Coordinators and department heads in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Rental services for automobiles, trucks, and other ground transportation",1615---5321,1
"Mechanical engineers --- Cleaning and repair services for aircraft, ships, and trains",2252---4882,1
Other protection and security service workers not previously classified --- Temporary accommodation services,5319---7210,1
Street food vendors and preparers --- Tourist transportation,9521---4870,1
File and correspondence clerks --- Transportation support services,3131---4881,1
"Coordinators and department heads in restaurants and hotels --- Business support services, employment services, and secretarial support",1712---5611,1
"Taco makers, fast food preparers, and snack vendors --- Personal services",5114---8121,1
"Taco makers, fast food preparers, and snack vendors --- Beverage and tobacco manufacturing",5114---3120,1
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Rental services and rental centers for tangible goods, excluding ground transportation equipment",8324---5322,1
Directors and managers in transportation services --- Tourist transportation,1323---4870,1
"Guards and security personnel in establishments --- Cleaning and repair services for aircraft, ships, and trains",5313---4882,1
"Workers in the processing of meat, fish, and related products --- Food and beverage preparation services by workers in mobile units",7511---7222,1
Captains and operators of maritime transport --- Water transportation,8321---4830,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Retail trade of motor vehicles, parts, fuels, and lubricants",2612---4681,1
"Supervisors of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments, and refrigeration equipment --- Water transportation",2630---4830,1
"Support workers in the food, beverage, and tobacco industries --- Street vending of groceries, food, beverages, and tobacco",9236---4612,1
Maintenance and repair mechanics for machinery and industrial instruments --- Food and beverage preparation services,2634---7221,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Wholesale trade of groceries, food, beverages, ice, and tobacco",8342---4310,1
Aviation pilots --- Non-residential building construction,8311---2363,1
Administrative support workers in various activities --- Air transportation,3115---4810,1
Supervisors of personal care and household workers --- Temporary accommodation services,5201---7210,1
Sweepers and cleaning workers (except in hotels and restaurants) --- Travel agencies and reservation services,9621---5615,1
Wood painters and varnishers --- Temporary accommodation services,7312---7210,1
"Directors and managers in sales, marketing, and rentals --- Entertainment services at recreational facilities and other recreational services",1411---7131,1
"Support workers in the food, beverage, and tobacco industries --- Business support services, employment services, and secretarial support",9236---5611,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Insufficiently specified descriptions of the transportation sector",8342---4899,1
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Film, video, and sound industries",5101---5120,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Municipal public administration",3222---9314,1
Event hosts and organizers --- Temporary accommodation services,2552---7210,1
"Warehouse and stock control workers --- Rental services for automobiles, trucks, and other ground transportation",3132---5321,1
"Deck officers, mates, and pilots --- Water transportation",8322---4830,1
Transport dispatchers --- Tourist transportation,3141---4870,1
"Plumbers, pipefitters, and pipeline installers --- Entertainment services at recreational facilities and other recreational services",7134---7131,1
Goat and sheep herders --- Support activities for agriculture and forestry,6124---1150,1
Database and computer network administrators --- Food and beverage preparation services,2272---7221,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- State public administration",9601---9313,1
"Administrative, marketing, and international trade assistants --- Museums, historical sites, zoos, and similar establishments",2511---7120,1
"Administrative support workers in various activities --- Museums, historical sites, zoos, and similar establishments",3115---7120,1
Directors and managers in restaurants and hotels --- Transportation equipment manufacturing,1412---3360,1
"Mobile machinery operators for construction and mining --- Passenger ground transportation, except rail",8351---4850,1
Assistants and technicians in video recording and playback equipment --- Travel agencies and reservation services,2653---5615,1
Real estate agents --- Travel agencies and reservation services,4223---5615,1
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Households with domestic employees",8324---8140,1
"Street food vendors and preparers --- Street vending of household appliances, home decor, and used items",9521---4662,1
"Sheet metal workers, panel beaters, tinsmiths, and metal painters --- Water transportation",7213---4830,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Promoters, agents, and representatives of artistic, sports, and similar events",1722---7113,1
"Cooks --- Wholesale trade of machinery, equipment, and furniture for agricultural, industrial, service, and commercial activities, and other general-purpose machinery and equipment",5111---4350,1
"Gardeners in establishments --- Promoters, agents, and representatives of artistic, sports, and similar events",5241---7113,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Federal public administration",1722---9312,1
"Taco makers, fast food preparers, and snack vendors --- Business support services, employment services, and secretarial support",5114---5611,1
Animal trainers and pet care workers --- Tourist transportation,5254---4870,1
Photographers --- Tourist transportation,2655---4870,1
Cooks --- Aquaculture,5111---1122,1
"Event, sports, and amusement park support workers --- Radio and television broadcasting",9713---5150,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Freight trucking",8342---4840,1
"Support workers in the food, beverage, and tobacco industries --- Agriculture",9236---1110,1
Gardeners in establishments --- Transportation support services,5241---4881,1
"Support workers in the food, beverage, and tobacco industries --- Livestock farming and animal breeding",9236---1121,1
"Parcel workers, bellhops, and hotel porters --- Passenger ground transportation, except rail",9711---4850,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Federal public administration",9601---9312,1
Captains and operators of maritime transport --- Real estate services,8321---5310,1
Supervisors of transportation and mobile machinery drivers --- Transportation support services,8301---4881,1
"Guards and security personnel in establishments --- Passenger ground transportation, except rail",5313---4850,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Non-metallic mineral product manufacturing",8342---3270,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Travel agencies and reservation services",3222---5615,1
Receptionists and information clerks (in-person) --- Air transportation,3211---4810,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Associations and organizations",8342---8130,1
"Blacksmiths, railing makers, aluminum workers, and metal forgers --- Support activities for agriculture and forestry",7221---1150,1
Rental service workers for real estate --- Temporary accommodation services,4311---7210,1
"Coordinators and area chiefs in museums, cinemas, sports, and cultural services --- Private universities and higher education institutions",1722---6131,1
"Food preparation assistants --- Investigation, protection, and security services",9411---5614,1
"Waiters --- Retail trade of groceries, food, beverages, ice, and tobacco",5116---4611,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Generation, transmission, distribution, and commercialization of electric power",8342---2211,1
"Taco makers, fast food preparers, and snack vendors --- Food and beverage preparation services by workers in mobile units",5114---7222,1
Assistants to railway transport operators --- Freight trucking,9312---4840,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Performing arts and cultural groups",9601---7111,1
"Waiters --- Private primary, secondary, and special education schools",5116---6111,1
Aquaculture workers --- Food and beverage preparation services,6212---7221,1
"Traffic controllers for other modes of transport (land, rail, and maritime) --- Waste management and remediation services (private sector)",2662---5621,1
Accountants and auditors --- Aquaculture,2121---1122,1
"Support workers in the food, beverage, and tobacco industries --- Transportation support services",9236---4881,1
Vocational and trade instructors and trainers --- Food and beverage preparation services,2715---7221,1
Secretaries --- Temporary accommodation services,3111---7210,1
Foreign language instructors --- Food and beverage preparation services,2714---7221,1
Administrative support workers in various activities --- Insufficiently specified descriptions of the transportation sector,3115---4899,1
"Operators of machines for food, oil, fat, salt, and spice production --- Aquaculture",8161---1122,1
Cooks --- Public technical higher education schools,5111---6122,1
Accountants and auditors --- Support activities for agriculture and forestry,2121---1150,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Federal public administration",2612---9312,1
"Mechanics in installation, repair, and maintenance of refrigeration, climate control, and air conditioning equipment --- Food and beverage preparation services",2638---7221,1
"Workers in the production of bread, tortillas, pastries, and other cereal and flour products --- Professional athletes and sports teams",7513---7112,1
Accountants and auditors --- Transportation support services,2121---4881,1
"Collection agents, paymasters, and money lenders --- Transportation support services",3122---4881,1
"Food preparation assistants --- Film, video, and sound industries",9411---5120,1
Instructors in artistic studies and training --- Entertainment services at recreational facilities and other recreational services,2712---7131,1
"Bartenders --- Retail trade of groceries, food, beverages, ice, and tobacco",5115---4611,1
Customs and border agents --- Air transportation,2522---4810,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Plastics and rubber products manufacturing",8342---3260,1
Physical therapists and speech therapists --- Entertainment services at recreational facilities and other recreational services,2437---7131,1
Psychologists --- Food and beverage preparation services,2142---7221,1
Cooks --- Public universities and higher education institutions,5111---6132,1
"Taco makers, fast food preparers, and snack vendors --- NA",5114---9700,1
Lawyers --- Temporary accommodation services,2135---7210,1
"Biologists, marine scientists, and oceanographers --- Water collection, treatment, and supply",2221---2212,1
Mechanical engineers --- Fishing,2252---1141,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Rail transportation",3222---4820,1
Bathhouse attendants and massage therapists --- Entertainment services at recreational facilities and other recreational services,5213---7131,1
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- Public hospitals",5101---6222,1
"Deck officers, mates, and pilots --- Tourist transportation",8322---4870,1
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Travel agencies and reservation services",8324---5615,1
Waiters --- Freight trucking,5116---4840,1
"Taco makers, fast food preparers, and snack vendors --- Retail trade in department stores and self-service stores",5114---4620,1
Air traffic controllers --- Transportation support services,2661---4881,1
"Workers in installation and repair of electronic, telecommunications, and household appliances (excluding computer equipment) --- Temporary accommodation services",2644---7210,1
"Taco makers, fast food preparers, and snack vendors --- Temporary accommodation services",5114---7210,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Fabricated metal product manufacturing",8342---3320,1
Directors and managers in information technology --- Food and beverage preparation services,1321---7221,1
"Administrative support workers in various activities --- Passenger ground transportation, except rail",3115---4850,1
Cooks --- Public outpatient medical and related services,5111---6212,1
"Operators of small vessels (boats, skiffs, trajineras, etc.) --- Fishing",8324---1141,1
Animal trainers and pet care workers --- Temporary accommodation services,5254---7210,1
"Administrative, marketing, and international trade assistants --- Water transportation",2511---4830,1
Accountants and auditors --- Travel agencies and reservation services,2121---5615,1
Mobile machinery operators for construction and mining --- Temporary accommodation services,8351---7210,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Private convalescent homes with nursing care for the chronically ill, terminally ill, or those in rehabilitation",9601---6231,1
Database and computer network administrators --- Temporary accommodation services,2272---7210,1
"Receptionists and information clerks (in-person) --- Passenger ground transportation, except rail",3211---4850,1
"Directors and managers in construction, machinery repair, industrial equipment, telecommunications, and transportation --- Tourist transportation",1315---4870,1
"Fishermen and fishing workers --- Street vending of groceries, food, beverages, and tobacco",6211---4612,1
"Operators of machines for food, oil, fat, salt, and spice production --- Support activities for agriculture and forestry",8161---1150,1
"Traffic controllers for other modes of transport (land, rail, and maritime) --- Freight trucking",2662---4840,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Travel agencies and reservation services",8342---5615,1
"Ecologists and atmospheric scientists --- Wholesale trade of groceries, food, beverages, ice, and tobacco",2223---4310,1
Composers and arrangers --- Performing arts and cultural groups,2171---7111,1
"Assistants and technicians in audio, sound, and lighting engineering --- Promoters, agents, and representatives of artistic, sports, and similar events",2654---7113,1
"Ecologists and atmospheric scientists --- Business support services, employment services, and secretarial support",2223---5611,1
Software and multimedia developers and analysts --- Aquaculture,2271---1122,1
"Cooks --- Wholesale trade of groceries, food, beverages, ice, and tobacco",5111---4310,1
Aquaculture workers --- Food manufacturing,6212---3110,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Generation, transmission, distribution, and commercialization of electric power",2612---2211,1
"Support workers in the food, beverage, and tobacco industries --- Temporary accommodation services",9236---7210,1
"Directors and managers in sales, marketing, and rentals --- Transportation support services",1411---4881,1
"Cashiers, ticket sellers, betting clerks, and similar workers --- Professional athletes and sports teams",3121---7112,1
"Fishermen and fishing workers --- Retail trade of groceries, food, beverages, ice, and tobacco",6211---4611,1
"Food preparation assistants --- Private convalescent homes with nursing care for the chronically ill, terminally ill, or those in rehabilitation",9411---6231,1
Air Force personnel --- Food and beverage preparation services,5411---7221,1
Industrial engineers --- Air transportation,2253---4810,1
"Ecologists and atmospheric scientists --- Electrical equipment, appliance, and component manufacturing",2223---3350,1
Graphic designers --- Entertainment services at recreational facilities and other recreational services,2543---7131,1
Mobile machinery operators for construction and mining --- Water transportation,8351---4830,1
Nursing assistants and paramedics --- Entertainment services at recreational facilities and other recreational services,2821---7131,1
Vocational and trade instructors and trainers --- Entertainment services at recreational facilities and other recreational services,2715---7131,1
"Directors and managers in administration, human resources, and marketing --- Tourist transportation",1211---4870,1
Workers in processing fish and aquaculture products --- Fishing,6213---1141,1
"Cooks --- Film, video, and sound industries",5111---5120,1
Sweepers and cleaning workers (except in hotels and restaurants) --- Transportation support services,9621---4881,1
"Directors and managers in museums, theaters, and other cultural and sports establishments --- State public administration",1422---9313,1
"Coordinators and department heads in accounting, financial services, banking, and insurance --- Food and beverage preparation services",1512---7221,1
Supervisors of personal care and household workers --- Transportation support services,5201---4881,1
Other artisanal workers not previously classified --- Temporary accommodation services,7999---7210,1
"Food preparation assistants --- Retail trade of household appliances, computers, home decor, and used items",9411---4661,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Retail trade of motor vehicles, parts, fuels, and lubricants",8342---4681,1
"Cleaning supervisors, housekeepers, butlers, and parking attendants --- Retail trade of motor vehicles, parts, fuels, and lubricants",9601---4681,1
Administrators and professionals in human resources and management systems --- Temporary accommodation services,2111---7210,1
"Event, sports, and amusement park support workers --- Rental services and rental centers for tangible goods, excluding ground transportation equipment",9713---5322,1
Food preparation assistants --- NA,9411---9800,1
"Coordinators and area chiefs in artistic activities, film, theater, and related fields --- Film, video, and sound industries",1721---5120,1
"Collection agents, paymasters, and money lenders --- Passenger ground transportation, except rail",3122---4850,1
"Event, sports, and amusement park support workers --- Waste management and remediation services (public sector)",9713---5622,1
"Telephone operators and telegraph operators --- Passenger ground transportation, except rail",3213---4850,1
"Architects, urban planners, and transportation planners --- Temporary accommodation services",2263---7210,1
Travel agency workers --- Municipal public administration,3221---9314,1
Directors and managers in transportation services --- Transportation support services,1323---4881,1
Messengers and couriers (on foot or bicycle) --- Food and beverage preparation services,9722---7221,1
"Collection agents, paymasters, and money lenders --- Entertainment services at recreational facilities and other recreational services",3122---7131,1
Rental service workers for movable goods --- Tourist transportation,4312---4870,1
Livestock support workers --- Professional athletes and sports teams,9112---7112,1
Warehouse and stock control workers --- Fishing,3132---1141,1
Maintenance and repair technicians for machinery and industrial instruments --- Entertainment services at recreational facilities and other recreational services,2633---7131,1
Street food vendors and small-scale food merchants --- Households with domestic employees,5112---8140,1
"Coordinators and department heads in sales, marketing, and rentals --- Passenger ground transportation, except rail",1711---4850,1
Occupational safety and hygiene technicians --- Support activities for agriculture and forestry,2825---1150,1
"Travel agency workers --- Business support services, employment services, and secretarial support",3221---5611,1
"Tour guides in museums, casinos, parks, theaters, and other recreational centers --- Fishing",3222---1141,1
"Assistants and technicians in biological, chemical, and environmental sciences --- Food manufacturing",2612---3110,1
"Administrative, marketing, and international trade assistants --- Passenger ground transportation, except rail",2511---4850,1
Transport dispatchers --- Water transportation,3141---4830,1
"Busboys and cleaning staff in hotels and restaurants --- Green space maintenance, cleaning, and landscaping services",9623---5613,1
Captains and operators of maritime transport --- Travel agencies and reservation services,8321---5615,1
Photographers --- Travel agencies and reservation services,2655---5615,1
"Coordinators and department heads in administration, human resources, and marketing --- Transportation support services",1511---4881,1
"Plumbers, pipefitters, and pipeline installers --- Food and beverage preparation services",7134---7221,1
"Supervisors in food and beverage preparation, entertainment, and hospitality services --- NA",5101---9800,1
Cooks --- Federal public administration,5111---9312,1
"Street food vendors and preparers --- Wholesale trade of groceries, food, beverages, ice, and tobacco",9521---4310,1
"Surveyors --- Passenger ground transportation, except rail",3231---4850,1
"Bus, truck, van, taxi, and passenger vehicle drivers --- Food manufacturing",8342---3110,1
Street food vendors and small-scale food merchants --- NA,5112---9700,1
"Support workers in the food, beverage, and tobacco industries --- Aquaculture",9236---1122,1
