"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes"
"chionopsis gnidia","region_2",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis gnidia","region_3",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis gnidia","region_4",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis gnidia","region_5",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis gnidia","region_6",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis gnidia","region_7",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis gnidia","region_8",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis gnidia","region_9",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chondracanthus canaliculatus","region_1",2012,"development potential","increase","This species grows in the intertidal zone of the western coast of the Baja California peninsula."
"chondracanthus canaliculatus","region_2",2012,"development potential","increase",NA
"chondracanthus canaliculatus","region_3",2012,"development potential","increase",NA
"chondracanthus canaliculatus","region_4",2012,"development potential","increase",NA
"chondracanthus canaliculatus","region_5",2012,"development potential","increase",NA
"chondracanthus canaliculatus","region_6",2012,"development potential","increase",NA
"chondracanthus canaliculatus","region_7",2012,"development potential","increase",NA
"chondracanthus canaliculatus","region_8",2012,"development potential","increase",NA
"chondracanthus canaliculatus","region_9",2012,"development potential","increase",NA
"citharichthys gilberti","region_1",2010,"","",NA
"citharichthys gilberti","region_2",2010,"","",NA
"citharichthys gilberti","region_3",2010,"","",NA
"citharichthys gilberti","region_4",2010,"","",NA
"citharichthys gilberti","region_5",2010,"","",NA
"citharichthys gilberti","region_6",2010,"","",NA
"citharichthys gilberti","region_7",2010,"","",NA
"citharichthys gilberti","region_8",2010,"","",NA
"citharichthys gilberti","region_9",2010,"","",NA
"citharichthys xanthostigma","region_1",2010,"","",NA
"citharichthys xanthostigma","region_2",2010,"","",NA
"citharichthys xanthostigma","region_3",2010,"","",NA
"citharichthys xanthostigma","region_4",2010,"","",NA
"citharichthys xanthostigma","region_5",2010,"","",NA
"citharichthys xanthostigma","region_6",2010,"","",NA
"citharichthys xanthostigma","region_7",2010,"","",NA
"citharichthys xanthostigma","region_8",2010,"","",NA
"citharichthys xanthostigma","region_9",2010,"","",NA
"crassostrea costeziensis","region_9",2023,"maximally harvested",NA,"Jalisco has development potential; Nayarit maximum sustainability"
"crassostrea gigas","region_1",2017,"maximally harvested","increase",NA
"crassostrea gigas","region_2",2017,"maximally harvested","increase",NA
"crassostrea gigas","region_3",2017,"maximally harvested","increase",NA
"crassostrea gigas","region_4",2017,"maximally harvested","increase",NA
"crassostrea gigas","region_5",2017,"maximally harvested","increase",NA
"crassostrea gigas","region_6",2017,"maximally harvested","increase",NA
"crassostrea gigas","region_7",2017,"maximally harvested","increase",NA
"crassostrea gigas","region_8",2017,"maximally harvested","increase",NA
"crassostrea gigas","region_9",2017,"maximally harvested","increase",NA
"crassostrea iridescens, o striostrea prismatica","region_9",2023,"maximally harvested",NA,"Jalisco has development potential; Nayarit maximum sustainability"
"crassostrea iridiscens","region_3",2012,"maximally harvested","no increase",NA
"crassostrea iridiscens","region_4",2012,"maximally harvested","no increase",NA
"crassostrea iridiscens","region_7",2012,"maximally harvested","no increase",NA
"crassostrea iridiscens","region_8",2012,"maximally harvested","no increase",NA
"crassostrea iridiscens","region_9",2012,"maximally harvested","no increase",NA
"crassostrea virginica","region_3",2012,"maximally harvested","no increase",NA
"crassostrea virginica","region_4",2012,"maximally harvested","no increase",NA
"crassostrea virginica","region_7",2012,"maximally harvested","no increase",NA
"crassostrea virginica","region_8",2012,"maximally harvested","no increase",NA
"crassostrea virginica","region_9",2012,"maximally harvested","no increase",NA
"cynoscion albus","region_1",2010,"","",NA
"cynoscion albus","region_2",2010,"","",NA
"cynoscion albus","region_3",2010,"","",NA
"cynoscion albus","region_4",2010,"","",NA
"cynoscion albus","region_5",2010,"","",NA
"cynoscion albus","region_6",2010,"","",NA
"cynoscion albus","region_7",2010,"","",NA
"cynoscion albus","region_8",2010,"","",NA
"cynoscion albus","region_9",2010,"","",NA
"cynoscion nannus","region_1",2010,"","",NA
"cynoscion nannus","region_2",2010,"","",NA
"cynoscion nannus","region_3",2010,"","",NA
"cynoscion nannus","region_4",2010,"","",NA
"cynoscion nannus","region_5",2010,"","",NA
"cynoscion nannus","region_6",2010,"","",NA
"cynoscion nannus","region_7",2010,"","",NA
"cynoscion nannus","region_8",2010,"","",NA
"cynoscion nannus","region_9",2010,"","",NA
"cynoscion othonopterus","region_1",2023,"maximally harvested","no increase",NA
"cynoscion othonopterus","region_2",2023,"maximally harvested","no increase",NA
"cynoscion othonopterus","region_5",2023,"maximally harvested","no increase",NA
"cynoscion othonopterus","region_6",2023,"maximally harvested","no increase",NA
"cynoscion othonopterus","region_7",2023,"maximally harvested","no increase",NA
"cynoscion parvipinnis","region_1",2010,"","",NA
"cynoscion parvipinnis","region_2",2010,"","",NA
"cynoscion parvipinnis","region_3",2010,"","",NA
"cynoscion parvipinnis","region_4",2010,"","",NA
"cynoscion parvipinnis","region_5",2010,"","",NA
"cynoscion parvipinnis","region_6",2010,"","",NA
"cynoscion parvipinnis","region_7",2010,"","",NA
"cynoscion parvipinnis","region_8",2010,"","",NA
"cynoscion parvipinnis","region_9",2010,"","",NA
"cynoscion reticulatus","region_1",2010,"","",NA
"cynoscion reticulatus","region_2",2010,"","",NA
"cynoscion reticulatus","region_3",2010,"","",NA
"cynoscion reticulatus","region_4",2010,"","",NA
"cynoscion reticulatus","region_5",2010,"","",NA
"cynoscion reticulatus","region_6",2010,"","",NA
"cynoscion reticulatus","region_7",2010,"","",NA
"cynoscion reticulatus","region_8",2010,"","",NA
"cynoscion reticulatus","region_9",2010,"","",NA
"cynoscion squamipinnis","region_1",2010,"","",NA
"cynoscion squamipinnis","region_2",2010,"","",NA
"cynoscion squamipinnis","region_3",2010,"","",NA
"cynoscion squamipinnis","region_4",2010,"","",NA
"cynoscion squamipinnis","region_5",2010,"","",NA
"cynoscion squamipinnis","region_6",2010,"","",NA
"cynoscion squamipinnis","region_7",2010,"","",NA
"cynoscion squamipinnis","region_8",2010,"","",NA
"cynoscion squamipinnis","region_9",2010,"","",NA
"cynoscion stolzmanni","region_1",2010,"","",NA
"cynoscion stolzmanni","region_2",2010,"","",NA
"cynoscion stolzmanni","region_3",2010,"","",NA
"cynoscion stolzmanni","region_4",2010,"","",NA
"cynoscion stolzmanni","region_5",2010,"","",NA
"cynoscion stolzmanni","region_6",2010,"","",NA
"cynoscion stolzmanni","region_7",2010,"","",NA
"cynoscion stolzmanni","region_8",2010,"","",NA
"cynoscion stolzmanni","region_9",2010,"","",NA
"cynoscion xanthulus","region_1",2010,"","",NA
"cynoscion xanthulus","region_2",2010,"","",NA
"cynoscion xanthulus","region_3",2010,"","",NA
"cynoscion xanthulus","region_4",2010,"","",NA
"cynoscion xanthulus","region_5",2010,"","",NA
"cynoscion xanthulus","region_6",2010,"","",NA
"cynoscion xanthulus","region_7",2010,"","",NA
"cynoscion xanthulus","region_8",2010,"","",NA
"cynoscion xanthulus","region_9",2010,"","",NA
"dasyatis brevis","region_1",2006,"","",NA
"dasyatis brevis","region_2",2006,"","",NA
"dasyatis brevis","region_3",2006,"","",NA
"dasyatis brevis","region_4",2006,"","",NA
"dasyatis brevis","region_5",2006,"","",NA
"dasyatis brevis","region_6",2006,"","",NA
"dasyatis brevis","region_7",2006,"","",NA
"dasyatis brevis","region_8",2006,"","",NA
"dasyatis brevis","region_9",2006,"","",NA
"dasyatis dipterura","region_1",2010,"","",NA
"dasyatis dipterura","region_2",2010,"","",NA
"dasyatis dipterura","region_3",2010,"","",NA
"dasyatis dipterura","region_4",2010,"","",NA
"dasyatis dipterura","region_5",2010,"","",NA
"dasyatis dipterura","region_6",2010,"","",NA
"dasyatis dipterura","region_7",2010,"","",NA
"dasyatis dipterura","region_8",2010,"","",NA
"dasyatis dipterura","region_9",2010,"","",NA
"dasyatis longus","region_1",2010,"","",NA
"dasyatis longus","region_2",2010,"","",NA
"dasyatis longus","region_3",2010,"","",NA
"dasyatis longus","region_4",2010,"","",NA
"dasyatis longus","region_5",2010,"","",NA
"dasyatis longus","region_6",2010,"","",NA
"dasyatis longus","region_7",2010,"","",NA
"dasyatis longus","region_8",2010,"","",NA
"dasyatis longus","region_9",2010,"","",NA
"dermatolepis dermatolepis","region_1",2010,"","",NA
"dermatolepis dermatolepis","region_2",2010,"","",NA
"dermatolepis dermatolepis","region_3",2010,"","",NA
"dermatolepis dermatolepis","region_4",2010,"","",NA
"dermatolepis dermatolepis","region_5",2010,"","",NA
"dermatolepis dermatolepis","region_6",2010,"","",NA
"dermatolepis dermatolepis","region_7",2010,"","",NA
"dermatolepis dermatolepis","region_8",2010,"","",NA
"dermatolepis dermatolepis","region_9",2010,"","",NA
"dosidicus gigas","region_1",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California"
"dosidicus gigas","region_2",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California"
"dosidicus gigas","region_3",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California"
"dosidicus gigas","region_4",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California"
"dosidicus gigas","region_5",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California"
"dosidicus gigas","region_6",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California"
"dosidicus gigas","region_7",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California"
"dosidicus gigas","region_8",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California"
"dosidicus gigas","region_9",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California"
"dosinia ponderosa","region_5",2023,"maximally harvested","no increase","highly variable catch"
"dosinia ponderosa","region_6",2023,"maximally harvested","no increase","highly variable catch"
"dosinia ponderosa","region_7",2023,"maximally harvested","no increase","highly variable catch"
"echinorhinus cookey","region_1",2004,"","",NA
"echinorhinus cookey","region_2",2004,"","",NA
"echinorhinus cookey","region_3",2004,"","",NA
"echinorhinus cookey","region_4",2004,"","",NA
"echinorhinus cookey","region_5",2004,"","",NA
"echinorhinus cookey","region_6",2004,"","",NA
"echinorhinus cookey","region_7",2004,"","",NA
"echinorhinus cookey","region_8",2004,"","",NA
"echinorhinus cookey","region_9",2004,"","",NA
"elagatis bipinnulata","region_1",2010,"","",NA
"elagatis bipinnulata","region_2",2010,"","",NA
"elagatis bipinnulata","region_3",2010,"","",NA
"elagatis bipinnulata","region_4",2010,"","",NA
"elagatis bipinnulata","region_5",2010,"","",NA
"elagatis bipinnulata","region_6",2010,"","",NA
"elagatis bipinnulata","region_7",2010,"","",NA
"elagatis bipinnulata","region_8",2010,"","",NA
"elagatis bipinnulata","region_9",2010,"","",NA
"engraulis mordax","region_1",2022,"maximally harvested","no increase",NA
"engraulis mordax","region_2",2022,"maximally harvested","no increase",NA
"engraulis mordax","region_3",2022,"maximally harvested","no increase",NA
"engraulis mordax","region_4",2022,"maximally harvested","no increase",NA
"engraulis mordax","region_5",2022,"maximally harvested","no increase",NA
"engraulis mordax","region_6",2022,"maximally harvested","no increase",NA
"engraulis mordax","region_7",2022,"maximally harvested","no increase",NA
"engraulis mordax","region_8",2022,"maximally harvested","no increase",NA
"engraulis mordax","region_9",2022,"maximally harvested","no increase",NA
"epinephelus acanthistius","region_1",2010,"","",NA
"epinephelus acanthistius","region_2",2010,"","",NA
"epinephelus acanthistius","region_3",2010,"","",NA
"epinephelus acanthistius","region_4",2010,"","",NA
"epinephelus acanthistius","region_5",2010,"","",NA
"epinephelus acanthistius","region_6",2010,"","",NA
"epinephelus acanthistius","region_7",2010,"","",NA
"epinephelus acanthistius","region_8",2010,"","",NA
"epinephelus acanthistius","region_9",2010,"","",NA
"epinephelus analogus","region_1",2010,"","",NA
"epinephelus analogus","region_2",2010,"","",NA
"epinephelus analogus","region_3",2010,"","",NA
"epinephelus analogus","region_4",2010,"","",NA
"epinephelus analogus","region_5",2010,"","",NA
"epinephelus analogus","region_6",2010,"","",NA
"epinephelus analogus","region_7",2010,"","",NA
"epinephelus analogus","region_8",2010,"","",NA
"epinephelus analogus","region_9",2010,"","",NA
"epinephelus itajara","region_1",2010,"","",NA
"epinephelus itajara","region_2",2010,"","",NA
"epinephelus itajara","region_3",2010,"","",NA
"epinephelus itajara","region_4",2010,"","",NA
"epinephelus itajara","region_5",2010,"","",NA
"epinephelus itajara","region_6",2010,"","",NA
"epinephelus itajara","region_7",2010,"","",NA
"epinephelus itajara","region_8",2010,"","",NA
"epinephelus itajara","region_9",2010,"","",NA
"epinephelus labriformis","region_1",2010,"","",NA
"epinephelus labriformis","region_2",2010,"","",NA
"epinephelus labriformis","region_3",2010,"","",NA
"epinephelus labriformis","region_4",2010,"","",NA
"epinephelus labriformis","region_5",2010,"","",NA
"epinephelus labriformis","region_6",2010,"","",NA
"epinephelus labriformis","region_7",2010,"","",NA
"epinephelus labriformis","region_8",2010,"","",NA
"epinephelus labriformis","region_9",2010,"","",NA
"epinephelus niphobles","region_1",2010,"","",NA
"epinephelus niphobles","region_2",2010,"","",NA
"epinephelus niphobles","region_3",2010,"","",NA
"epinephelus niphobles","region_4",2010,"","",NA
"epinephelus niphobles","region_5",2010,"","",NA
"epinephelus niphobles","region_6",2010,"","",NA
"epinephelus niphobles","region_7",2010,"","",NA
"epinephelus niphobles","region_8",2010,"","",NA
"epinephelus niphobles","region_9",2010,"","",NA
"epinephelus panamensis","region_1",2010,"","",NA
"epinephelus panamensis","region_2",2010,"","",NA
"epinephelus panamensis","region_3",2010,"","",NA
"epinephelus panamensis","region_4",2010,"","",NA
"epinephelus panamensis","region_5",2010,"","",NA
"epinephelus panamensis","region_6",2010,"","",NA
"epinephelus panamensis","region_7",2010,"","",NA
"epinephelus panamensis","region_8",2010,"","",NA
"epinephelus panamensis","region_9",2010,"","",NA
"etrumeus teres","region_1",2022,"maximally harvested","no increase",NA
"etrumeus teres","region_2",2022,"maximally harvested","no increase",NA
"etrumeus teres","region_3",2022,"maximally harvested","no increase",NA
"etrumeus teres","region_4",2022,"maximally harvested","no increase",NA
"etrumeus teres","region_5",2022,"maximally harvested","no increase",NA
"etrumeus teres","region_6",2022,"maximally harvested","no increase",NA
"etrumeus teres","region_7",2022,"maximally harvested","no increase",NA
"etrumeus teres","region_8",2022,"maximally harvested","no increase",NA
"etrumeus teres","region_9",2022,"maximally harvested","no increase",NA
"euthynnus lineatus","region_1",2000,"","",NA
"euthynnus lineatus","region_2",2000,"","",NA
"euthynnus lineatus","region_3",2000,"","",NA
"euthynnus lineatus","region_4",2000,"","",NA
"euthynnus lineatus","region_5",2000,"","",NA
"euthynnus lineatus","region_6",2000,"","",NA
"euthynnus lineatus","region_7",2000,"","",NA
"euthynnus lineatus","region_8",2000,"","",NA
"euthynnus lineatus","region_9",2000,"","",NA
"farfantepenaeus brevirostris","region_1",2017,"maximally harvested","no increase",NA
"farfantepenaeus brevirostris","region_2",2017,"maximally harvested","no increase",NA
"farfantepenaeus brevirostris","region_3",2017,"maximally harvested","no increase",NA
"farfantepenaeus brevirostris","region_4",2017,"maximally harvested","no increase",NA
"farfantepenaeus brevirostris","region_5",2017,"maximally harvested","no increase",NA
"farfantepenaeus brevirostris","region_6",2017,"maximally harvested","no increase",NA
"farfantepenaeus brevirostris","region_7",2017,"maximally harvested","no increase",NA
"farfantepenaeus brevirostris","region_8",2017,"maximally harvested","no increase",NA
"farfantepenaeus brevirostris","region_9",2017,"maximally harvested","no increase",NA
"farfantepenaeus californiensis","region_1",2017,"maximally harvested","no increase",NA
"farfantepenaeus californiensis","region_2",2017,"maximally harvested","no increase",NA
"farfantepenaeus californiensis","region_3",2017,"maximally harvested","no increase",NA
"farfantepenaeus californiensis","region_4",2017,"maximally harvested","no increase",NA
"farfantepenaeus californiensis","region_5",2017,"maximally harvested","no increase",NA
"farfantepenaeus californiensis","region_6",2017,"maximally harvested","no increase",NA
"farfantepenaeus californiensis","region_7",2017,"maximally harvested","no increase",NA
"farfantepenaeus californiensis","region_8",2017,"maximally harvested","no increase",NA
"farfantepenaeus californiensis","region_9",2017,"maximally harvested","no increase",NA
"felaniella sp.","region_1",2010,"","",NA
"felaniella sp.","region_2",2010,"","",NA
"felaniella sp.","region_3",2010,"","",NA
"felaniella sp.","region_4",2010,"","",NA
"felaniella sp.","region_5",2010,"","",NA
"felaniella sp.","region_6",2010,"","",NA
"felaniella sp.","region_7",2010,"","",NA
"felaniella sp.","region_8",2010,"","",NA
"felaniella sp.","region_9",2010,"","",NA
"galeocerdo cuvier","region_1",2023,"maximally harvested","no increase",NA
"galeocerdo cuvier","region_2",2023,"maximally harvested","no increase",NA
"galeocerdo cuvier","region_3",2023,"maximally harvested","no increase",NA
"galeocerdo cuvier","region_4",2023,"maximally harvested","no increase",NA
"galeocerdo cuvier","region_5",2023,"maximally harvested","no increase",NA
"galeocerdo cuvier","region_6",2023,"maximally harvested","no increase",NA
"galeocerdo cuvier","region_7",2023,"maximally harvested","no increase",NA
"galeocerdo cuvier","region_8",2023,"maximally harvested","no increase",NA
"galeocerdo cuvier","region_9",2023,"maximally harvested","no increase",NA
"galeorhinus galeus","region_1",2023,"maximally harvested","no increase",NA
"galeorhinus galeus","region_2",2023,"maximally harvested","no increase",NA
"galeorhinus galeus","region_3",2023,"maximally harvested","no increase",NA
"galeorhinus galeus","region_4",2023,"maximally harvested","no increase",NA
"galeorhinus galeus","region_5",2023,"maximally harvested","no increase",NA
"galeorhinus galeus","region_6",2023,"maximally harvested","no increase",NA
"galeorhinus galeus","region_7",2023,"maximally harvested","no increase",NA
"galeorhinus galeus","region_8",2023,"maximally harvested","no increase",NA
"galeorhinus galeus","region_9",2023,"maximally harvested","no increase",NA
"gelidium robustum","region_1",2012,"maximally harvested","increase","page 53, located on west coast of baja cali/baja cali sur"
"gelidium robustum","region_2",2012,"maximally harvested","increase","All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california."
"gelidium robustum","region_3",2012,"maximally harvested","increase",NA
"gelidium robustum","region_4",2012,"maximally harvested","increase",NA
"gelidium robustum","region_5",2012,"maximally harvested","increase",NA
"gelidium robustum","region_6",2012,"maximally harvested","increase",NA
"gelidium robustum","region_7",2012,"maximally harvested","increase",NA
"gelidium robustum","region_8",2012,"maximally harvested","increase",NA
"gelidium robustum","region_9",2012,"maximally harvested","increase",NA
"gigartina canaliculata","region_1",2004,"","","probably in 2012 as Pelo de cochi	Chondracanthus canaliculatus"
"gigartina canaliculata","region_2",2004,"","",NA
"gigartina canaliculata","region_3",2004,"","",NA
"gigartina canaliculata","region_4",2004,"","",NA
"gigartina canaliculata","region_5",2004,"","",NA
"gigartina canaliculata","region_6",2004,"","",NA
"gigartina canaliculata","region_7",2004,"","",NA
"gigartina canaliculata","region_8",2004,"","",NA
"gigartina canaliculata","region_9",2004,"","",NA
"ginglymostoma cirratum","region_1",2010,"","",NA
"ginglymostoma cirratum","region_2",2010,"","",NA
"ginglymostoma cirratum","region_3",2010,"","",NA
"ginglymostoma cirratum","region_4",2010,"","",NA
"ginglymostoma cirratum","region_5",2010,"","",NA
"ginglymostoma cirratum","region_6",2010,"","",NA
"ginglymostoma cirratum","region_7",2010,"","",NA
"ginglymostoma cirratum","region_8",2010,"","",NA
"ginglymostoma cirratum","region_9",2010,"","",NA
"gracilariopsis lemaneiformis","region_1",2012,"development potential","increasing",NA
"gracilariopsis lemaneiformis","region_2",2012,"development potential","increasing",NA
"gracilariopsis lemaneiformis","region_3",2012,"development potential","increasing","This species grows in the subtidal zone of the eastern coast of the Baja California peninsula (Gulf of California)."
"gracilariopsis lemaneiformis","region_4",2012,"development potential","increasing",NA
"gymnura crebripunctata","region_1",2006,"","",NA
"gymnura crebripunctata","region_2",2006,"","",NA
"gymnura crebripunctata","region_3",2006,"","",NA
"gymnura crebripunctata","region_4",2006,"","",NA
"gymnura crebripunctata","region_5",2006,"","",NA
"gymnura crebripunctata","region_6",2006,"","",NA
"gymnura crebripunctata","region_7",2006,"","",NA
"gymnura crebripunctata","region_8",2006,"","",NA
"gymnura crebripunctata","region_9",2006,"","",NA
"gymnura marmorata","region_1",2010,"","",NA
"gymnura marmorata","region_2",2010,"","",NA
"gymnura marmorata","region_3",2010,"","",NA
"gymnura marmorata","region_4",2010,"","",NA
"gymnura marmorata","region_5",2010,"","",NA
"gymnura marmorata","region_6",2010,"","",NA
"gymnura marmorata","region_7",2010,"","",NA
"gymnura marmorata","region_8",2010,"","",NA
"gymnura marmorata","region_9",2010,"","",NA
"gynglymostoma unami","region_1",2023,"maximally harvested","no increase",NA
"gynglymostoma unami","region_2",2023,"maximally harvested","no increase",NA
"gynglymostoma unami","region_3",2023,"maximally harvested","no increase",NA
"gynglymostoma unami","region_4",2023,"maximally harvested","no increase",NA
"gynglymostoma unami","region_5",2023,"maximally harvested","no increase",NA
"gynglymostoma unami","region_6",2023,"maximally harvested","no increase",NA
"gynglymostoma unami","region_7",2023,"maximally harvested","no increase",NA
"gynglymostoma unami","region_8",2023,"maximally harvested","no increase",NA
"gynglymostoma unami","region_9",2023,"maximally harvested","no increase",NA
"haliotis corrugata","region_1",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis corrugata","region_2",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis corrugata","region_3",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis corrugata","region_4",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis fulgens","region_1",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis fulgens","region_2",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis fulgens","region_3",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis fulgens","region_4",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"henricia levisuscula","region_1",2004,"","",NA
"henricia levisuscula","region_2",2004,"","",NA
"henricia levisuscula","region_3",2004,"","",NA
"henricia levisuscula","region_4",2004,"","",NA
"henricia levisuscula","region_5",2004,"","",NA
"henricia levisuscula","region_6",2004,"","",NA
"henricia levisuscula","region_7",2004,"","",NA
"henricia levisuscula","region_8",2004,"","",NA
"henricia levisuscula","region_9",2004,"","",NA
"hexaplex erithrostomus","region_1",2010,"","","might be in 2023 as: Caracol chino negro, Muricanthus nigritus"
"hexaplex erithrostomus","region_2",2010,"","",NA
"hexaplex erithrostomus","region_3",2010,"","",NA
"hexaplex erithrostomus","region_4",2010,"","",NA
"hexaplex erithrostomus","region_5",2010,"","",NA
"hexaplex erithrostomus","region_6",2010,"","",NA
"hexaplex erithrostomus","region_7",2010,"","",NA
"hexaplex erithrostomus","region_8",2010,"","",NA
"hexaplex erithrostomus","region_9",2010,"","",NA
"hippoglossina stomata","region_1",2010,"","",NA
"hippoglossina stomata","region_2",2010,"","",NA
"hippoglossina stomata","region_3",2010,"","",NA
"hippoglossina stomata","region_4",2010,"","",NA
"hippoglossina stomata","region_5",2010,"","",NA
"hippoglossina stomata","region_6",2010,"","",NA
"hippoglossina stomata","region_7",2010,"","",NA
"hippoglossina stomata","region_8",2010,"","",NA
"hippoglossina stomata","region_9",2010,"","",NA
"hippoglossina tetropthalmus","region_1",2010,"","",NA
"hippoglossina tetropthalmus","region_2",2010,"","",NA
"hippoglossina tetropthalmus","region_3",2010,"","",NA
"hippoglossina tetropthalmus","region_4",2010,"","",NA
"hippoglossina tetropthalmus","region_5",2010,"","",NA
"hippoglossina tetropthalmus","region_6",2010,"","",NA
"hippoglossina tetropthalmus","region_7",2010,"","",NA
"hippoglossina tetropthalmus","region_8",2010,"","",NA
"hippoglossina tetropthalmus","region_9",2010,"","",NA
"hoplopagrus guentherii","region_1",2023,"maximally harvested","no increase",NA
"hoplopagrus guentherii","region_2",2023,"maximally harvested","no increase",NA
"hoplopagrus guentherii","region_3",2023,"maximally harvested","no increase",NA
"hoplopagrus guentherii","region_4",2023,"maximally harvested","no increase",NA
"hoplopagrus guentherii","region_5",2023,"maximally harvested","no increase",NA
"hoplopagrus guentherii","region_6",2023,"maximally harvested","no increase",NA
"hoplopagrus guentherii","region_7",2023,"maximally harvested","no increase",NA
"hoplopagrus guentherii","region_8",2023,"maximally harvested","no increase",NA
"hoplopagrus guentherii","region_9",2023,"maximally harvested","no increase",NA
"hypsopsetta guttulata","region_1",2010,"","",NA
"hypsopsetta guttulata","region_2",2010,"","",NA
"hypsopsetta guttulata","region_3",2010,"","",NA
"hypsopsetta guttulata","region_4",2010,"","",NA
"hypsopsetta guttulata","region_5",2010,"","",NA
"hypsopsetta guttulata","region_6",2010,"","",NA
"hypsopsetta guttulata","region_7",2010,"","",NA
"hypsopsetta guttulata","region_8",2010,"","",NA
"hypsopsetta guttulata","region_9",2010,"","",NA
"iphygenia sp","region_1",2010,"","",NA
"iphygenia sp","region_2",2010,"","",NA
"iphygenia sp","region_3",2010,"","",NA
"iphygenia sp","region_4",2010,"","",NA
"iphygenia sp","region_5",2010,"","",NA
"iphygenia sp","region_6",2010,"","",NA
"iphygenia sp","region_7",2010,"","",NA
"iphygenia sp","region_8",2010,"","",NA
"iphygenia sp","region_9",2010,"","",NA
"istiophorus albicans","region_1",2010,"","",NA
"istiophorus albicans","region_2",2010,"","",NA
"istiophorus albicans","region_3",2010,"","",NA
"istiophorus albicans","region_4",2010,"","",NA
"istiophorus albicans","region_5",2010,"","",NA
"istiophorus albicans","region_6",2010,"","",NA
"istiophorus albicans","region_7",2010,"","",NA
"istiophorus albicans","region_8",2010,"","",NA
"istiophorus albicans","region_9",2010,"","",NA
"isurus oxyrinchus","region_1",2023,"maximally harvested","no increase",NA
"isurus oxyrinchus","region_2",2023,"maximally harvested","no increase",NA
"isurus oxyrinchus","region_3",2023,"maximally harvested","no increase",NA
"isurus oxyrinchus","region_4",2023,"maximally harvested","no increase",NA
"isurus oxyrinchus","region_5",2023,"maximally harvested","no increase",NA
"isurus oxyrinchus","region_6",2023,"maximally harvested","no increase",NA
"isurus oxyrinchus","region_7",2023,"maximally harvested","no increase",NA
"isurus oxyrinchus","region_8",2023,"maximally harvested","no increase",NA
"isurus oxyrinchus","region_9",2023,"maximally harvested","no increase",NA
"katsuwonus pelamis","region_1",2000,"","",NA
"katsuwonus pelamis","region_2",2000,"","",NA
"katsuwonus pelamis","region_3",2000,"","",NA
"katsuwonus pelamis","region_4",2000,"","",NA
"katsuwonus pelamis","region_5",2000,"","",NA
"katsuwonus pelamis","region_6",2000,"","",NA
"katsuwonus pelamis","region_7",2000,"","",NA
"katsuwonus pelamis","region_8",2000,"","",NA
"katsuwonus pelamis","region_9",2000,"","",NA
"larkinia grandis","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia grandis","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia grandis","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia grandis","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia grandis","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative"
