data,code,category1,category2,description
north_america_industry,3230,,,Printing and related support activities
north_america_industry,3240,,,Petroleum and coal products manufacturing
north_america_industry,3250,,,Chemical manufacturing
north_america_industry,3260,,,Plastics and rubber products manufacturing
north_america_industry,3270,,,Non-metallic mineral product manufacturing
north_america_industry,3310,,,Primary metal manufacturing
north_america_industry,3320,,,Fabricated metal product manufacturing
north_america_industry,3330,,,Machinery manufacturing
north_america_industry,3340,,,"Computer, communication, measurement, and other electronic equipment manufacturing"
north_america_industry,3350,,,"Electrical equipment, appliance, and component manufacturing"
north_america_industry,3360,,,Transportation equipment manufacturing
north_america_industry,3370,,,"Furniture, mattress, and blind manufacturing"
north_america_industry,3380,,,Other manufacturing industries
north_america_industry,3399,,,Insufficiently specified descriptions of the manufacturing sector
north_america_industry,4310,,,"Wholesale trade of groceries, food, beverages, ice, and tobacco"
north_america_industry,4320,,,Wholesale trade of textiles and footwear
north_america_industry,4330,,,"Wholesale trade of pharmaceuticals, cosmetics, recreational items, small appliances, and major appliances"
north_america_industry,4340,,,"Wholesale trade of agricultural and forestry raw materials, industrial supplies, and scrap materials"
north_america_industry,4350,,,"Wholesale trade of machinery, equipment, and furniture for agricultural, industrial, service, and commercial activities, and other general-purpose machinery and equipment"
north_america_industry,4360,,,"Wholesale trade of trucks and new parts and accessories for automobiles, light trucks, and trucks"
north_america_industry,4370,,,Wholesale trade brokerage
north_america_industry,4399,,,Insufficiently specified descriptions of the wholesale trade sector
north_america_industry,4611,,,"Retail trade of groceries, food, beverages, ice, and tobacco"
north_america_industry,4612,,,"Street vending of groceries, food, beverages, and tobacco"
north_america_industry,4620,,,Retail trade in department stores and self-service stores
north_america_industry,4631,,,"Retail trade of textiles, costume jewelry, fashion accessories, and footwear"
north_america_industry,4632,,,"Street vending of textiles, costume jewelry, fashion accessories, and footwear"
north_america_industry,4641,,,Retail trade of health care products
north_america_industry,4642,,,Street vending of health care products
north_america_industry,4651,,,"Retail trade of stationery, recreational items, and other personal use items"
north_america_industry,4652,,,"Street vending of stationery, recreational items, and other personal use items"
north_america_industry,4661,,,"Retail trade of household appliances, computers, home decor, and used items"
north_america_industry,4662,,,"Street vending of household appliances, home decor, and used items"
north_america_industry,4671,,,"Retail trade of hardware, paints, and glass"
north_america_industry,4672,,,Street vending of hardware and paints
north_america_industry,4681,,,"Retail trade of motor vehicles, parts, fuels, and lubricants"
north_america_industry,4682,,,"Street vending of auto parts, accessories, and fuels"
north_america_industry,4690,,,"Retail trade exclusively through the Internet, printed catalogs, television, and similar channels"
north_america_industry,4699,,,Insufficiently specified descriptions of the retail trade sector
north_america_industry,4810,transit,tourism,Air transportation
north_america_industry,4820,,,Rail transportation
north_america_industry,4830,transit,tourism,Water transportation
north_america_industry,4840,,,Freight trucking
north_america_industry,4850,transit,tourism,"Passenger ground transportation, except rail"
north_america_industry,4860,,,Pipeline transportation
north_america_industry,4870,transit,tourism,Tourist transportation
north_america_industry,4881,transit,tourism,Transportation support services
north_america_industry,4882,transit,tourism,"Cleaning and repair services for aircraft, ships, and trains"
north_america_industry,4899,transit,tourism,Insufficiently specified descriptions of the transportation sector
north_america_industry,4910,,,Postal services
north_america_industry,4920,,,Courier and package delivery services
north_america_industry,4930,,,Warehousing and storage services
north_america_industry,5110,,,"Publishing of newspapers, magazines, books, software, and other materials, including integrated printing"
north_america_industry,5120,,,"Film, video, and sound industries"
north_america_industry,5150,,,Radio and television broadcasting
north_america_industry,5170,,,Telecommunications
north_america_industry,5180,,,"Data processing, hosting, and other related services"
north_america_industry,5190,,,Other information services
north_america_industry,5199,,,Insufficiently specified descriptions of the mass media information sector
north_america_industry,5210,,,Central banking (Bank of Mexico)
north_america_industry,5221,,,Commercial banking and management of private sector funds and trusts
north_america_industry,5222,,,"Other private sector financial intermediaries, credit institutions, and savings and loan institutions"
north_america_industry,5223,,,Development banking and management of public sector funds and trusts
north_america_industry,5229,,,Insufficiently specified descriptions of non-market financial services
north_america_industry,5230,,,"Stock market, foreign exchange, and financial investment activities"
north_america_industry,5240,,,"Insurance, bonding companies, and pension fund management"
north_america_industry,5250,,,Specialized retirement fund and investment fund management companies
north_america_industry,5299,,,Insufficiently specified descriptions of the financial services and insurance sector
north_america_industry,5310,,,Real estate services
north_america_industry,5321,transit,tourism,"Rental services for automobiles, trucks, and other ground transportation"
north_america_industry,5322,,,"Rental services and rental centers for tangible goods, excluding ground transportation equipment"
north_america_industry,5330,,,"Trademark, patent, and franchise rental services"
north_america_industry,5399,,,Insufficiently specified descriptions of the real estate and rental sector
north_america_industry,5411,,,"Professional, scientific, and technical services"
north_america_industry,5412,,,Scientific research and development services
north_america_industry,5413,,,Veterinary services
north_america_industry,5414,,,Photography and video recording services
north_america_industry,5510,,,Corporate services
north_america_industry,5611,,,"Business support services, employment services, and secretarial support"
north_america_industry,5612,accomodations,tourism,"Interior cleaning services for aircraft, ships, and trains"
north_america_industry,5613,,,"Green space maintenance, cleaning, and landscaping services"
north_america_industry,5614,,,"Investigation, protection, and security services"
north_america_industry,5615,agents,tourism,Travel agencies and reservation services
north_america_industry,5616,,,Combined facility support services
north_america_industry,5621,,,Waste management and remediation services (private sector)
north_america_industry,5622,,,Waste management and remediation services (public sector)
north_america_industry,6111,,,"Private primary, secondary, and special education schools"
north_america_industry,6112,,,"Public primary, secondary, and special education schools"
north_america_industry,6119,,,"Unspecified primary, secondary, and special education schools (private or public)"
north_america_industry,6121,,,Private technical higher education schools
north_america_industry,6122,,,Public technical higher education schools
north_america_industry,6129,,,Unspecified technical higher education schools (private or public)
north_america_industry,6131,,,Private universities and higher education institutions
north_america_industry,6132,,,Public universities and higher education institutions
north_america_industry,6139,,,Unspecified universities and higher education institutions (private or public)
north_america_industry,6141,,,Other private educational services
north_america_industry,6142,,,Other public educational services
north_america_industry,6149,,,Other unspecified educational services (private or public)
north_america_industry,6150,,,Educational support services
north_america_industry,6199,,,Insufficiently specified descriptions of the educational services sector
north_america_industry,6211,,,Private outpatient medical and related services
north_america_industry,6212,,,Public outpatient medical and related services
north_america_industry,6219,,,Unspecified private or public outpatient medical and related services
north_america_industry,6221,,,Private hospitals
north_america_industry,6222,,,Public hospitals
north_america_industry,6229,,,Unspecified hospitals (private or public)
north_america_industry,6231,,,"Private convalescent homes with nursing care for the chronically ill, terminally ill, or those in rehabilitation"
north_america_industry,6232,,,"Public convalescent homes with nursing care for the chronically ill, terminally ill, or those in rehabilitation"
north_america_industry,6239,,,"Unspecified convalescent homes with nursing care for the chronically ill, terminally ill, or those in rehabilitation (private or public)"
north_america_industry,6241,,,Other private social assistance services
north_america_industry,6242,,,Other public social assistance services
north_america_industry,6249,,,Other unspecified social assistance services (private or public)
north_america_industry,6251,,,Private daycare centers
north_america_industry,6252,,,Public daycare centers
north_america_industry,6259,,,Unspecified daycare centers (private or public)
north_america_industry,6299,,,Insufficiently specified descriptions of the health and social assistance sector
north_america_industry,7111,entertainment,tourism,Performing arts and cultural groups
north_america_industry,7112,entertainment,tourism,Professional athletes and sports teams
north_america_industry,7113,entertainment,tourism,"Promoters, agents, and representatives of artistic, sports, and similar events"
north_america_industry,7114,,,"Independent artists, writers, and technicians"
north_america_industry,7115,entertainment,tourism,Street vendors providing recreational services
north_america_industry,7120,entertainment,tourism,"Museums, historical sites, zoos, and similar establishments"
north_america_industry,7131,entertainment,tourism,Entertainment services at recreational facilities and other recreational services
north_america_industry,7132,,,Sales of National Lottery tickets
north_america_industry,7133,,,Street vendors selling National Lottery tickets
north_america_industry,7210,accomodations,tourism,Temporary accommodation services
north_america_industry,7221,food,tourism,Food and beverage preparation services
north_america_industry,7222,food,tourism,Food and beverage preparation services by workers in mobile units
north_america_industry,7223,entertainment,tourism,Nightclubs
north_america_industry,8111,,,Automobile and truck repair and maintenance services
north_america_industry,8112,,,"Repair and maintenance services for equipment, machinery, household goods, and personal items"
north_america_industry,8119,,,Insufficiently specified descriptions of repair and maintenance services for movable property
north_america_industry,8121,,,Personal services
north_america_industry,8122,,,Parking lots and garages
north_america_industry,8123,,,Car care and washing services by mobile workers
north_america_industry,8124,,,Photo processing and printing services
north_america_industry,8125,,,Cemetery management services
north_america_industry,8130,,,Associations and organizations
north_america_industry,8140,,,Households with domestic employees
north_america_industry,9311,,,Legislative bodies
north_america_industry,9312,,,Federal public administration
north_america_industry,9313,,,State public administration
north_america_industry,9314,,,Municipal public administration
north_america_industry,9319,,,Unspecified public administration descriptions not indicating the level of government
north_america_industry,9320,,,International and extraterritorial organizations
north_america_industry,9399,,,"Insufficiently specified descriptions of the legislative, governmental, justice administration, and international or extraterritorial organizations sector"
north_america_industry,9999,,,Insufficiently specified general descriptions for all classifications
